zip_code,num_restaurants,num_reviews,num_reviews_per_restaurant,avg_total_reviews,avg_restaurant_rating,most_common_cat,num_most_common_cat,2nd_most_common_cat,num_2nd_most_common_cat,3rd_most_common_cat,num_3rd_most_common_cat,avg price per res. real estate sale (NYCData),avg price per res. real estate sale [improved] (NYCData),Mean income,Percentage Employed,Total Population,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher,Average inspection violations,,,pop_per_restaurant,num_reviews_per_capita,pop_peravg_bizreview,dollarsPerViolation
11213,27,227,8.4,3.6,3.7,Caribbean,6,Kosher,4,Indian,2,627013,263962,53827,52.3,46499,3763,4812,17075,8465,5589,3714,3081,16091,19850,10010,5094,9131,6894,12.7,,,"1,722",0.00,5536,4245
11214,66,3514,53.2,3.6,3.7,Chinese,12,Japanese,11,Pizza,9,608096,349637,64275,49.7,67036,2995,4665,23963,10019,9903,8260,7231,23933,24617,12671,12372,8126,10716,12.7,,,"1,016",0.05,1260,5045
11215,169,23656,140,3.8,3.8,Italian,23,American (New),22,Mexican,18,988742,718987,129767,73.3,56258,2072,4379,28682,8416,6898,3242,2569,23494,24881,3545,2453,5602,32396,11.7,,,333,0.42,402,11123
11216,64,3245,50.7,3.9,4,Caribbean,16,Breakfast & Brunch,7,Coffee & Tea,7,621144,250388,61909,56.9,45187,2604,4570,19587,6735,5898,3448,2345,16817,19973,7856,4656,8297,11411,12.7,,,706,0.07,891,4871
11217,90,14324,159.2,3.8,3.8,American (New),14,Italian,9,Sandwiches,8,1188471,929501,115622,69.3,32655,1033,2264,17194,4852,3475,2189,1648,12833,14952,2755,2561,3516,16689,11.2,,,363,0.44,205,10315
11218,70,3348,47.8,3.8,3.7,Mexican,14,Pizza,10,American (New),7,515080,420671,72848,59.4,56904,3829,5771,23207,9339,7792,3474,3492,22633,23476,8878,7142,7895,16423,12.2,,,813,0.06,1190,5962
11219,45,881,19.6,3.7,3.8,Chinese,9,Kosher,7,Italian,6,654645,353673,53595,53.5,66061,5221,7453,24913,10348,8855,3334,5937,26480,25089,14588,14135,7185,8208,12.5,,,"1,468",0.01,3370,4273
11220,197,4922,25,3.8,3.7,Chinese,75,Mexican,23,Latin American,11,673611,342486,55896,56.9,78814,5110,7940,33709,12920,9662,4925,4548,33230,31001,11148,26620,7323,11200,13.7,,,400,0.06,3153,4094
11221,46,1655,36,3.8,3.8,Pizza,7,Cafes,5,Latin American,4,473474,184801,57844,51.7,62030,4951,6639,25695,10334,7707,3933,2771,22828,27547,12565,12000,10698,8473,11.5,,,"1,348",0.03,1723,5035
11222,40,5375,134.4,4.1,4.2,American (New),9,Pizza,5,Vegan,4,847547,468436,83432,69.3,30617,846,2900,15923,4298,3793,1403,1454,13706,13208,4057,1724,5397,12836,11.5,,,765,0.18,228,7245
11223,117,3763,32.2,3.8,3.6,Chinese,15,Russian,12,Italian,12,718651,540864,66288,48.7,60185,3202,4288,19854,9336,9381,8205,5919,20801,22058,11924,9262,7692,9693,12.0,,,514,0.06,1869,5537
11224,26,1685,64.8,3.5,3.3,American (Traditional),7,Pizza,4,Mexican,3,483050,319333,58910,40.9,37843,2450,2722,8432,6195,6368,5988,5688,10571,13146,6041,4402,4957,5595,10.3,,,"1,456",0.04,584,5728
11225,40,1293,32.3,3.7,4,Caribbean,10,Cafes,6,American (Traditional),4,828662,359105,57419,57,47751,3165,5541,17892,7471,7655,3445,2582,16937,21622,8772,5582,9553,9111,12.4,,,"1,194",0.03,1478,4647
11226,77,2279,29.6,3.6,3.7,Caribbean,17,Chinese,17,Mexican,8,926949,300388,55125,58.6,79179,6072,7987,30839,14462,10615,5899,3305,28495,35408,19156,9649,15253,11858,12.1,,,"1,028",0.03,2675,4567
11228,46,1267,27.5,3.6,3.6,Pizza,11,Italian,8,Sandwiches,7,682584,436057,88579,51.7,35870,2190,2880,11979,5812,5455,4055,3499,13469,12657,6798,3809,5053,7586,11.9,,,780,0.04,1304,7469
11229,56,1948,34.8,3.8,3.8,Sushi Bars,9,Chinese,8,Japanese,8,455124,409914,75036,53.3,64976,3840,5119,19954,12132,11237,5494,7200,23760,24682,11575,5820,9706,16222,11.7,,,"1,160",0.03,1867,6388
11230,70,3165,45.2,3.8,3.7,Kosher,19,Pizza,10,Fast Food,6,599428,540395,68061,52.1,64903,5031,6760,21971,9835,10288,5079,5939,24278,24576,10448,5960,9842,15844,12.4,,,927,0.05,1436,5476
11231,97,11584,119.4,3.8,3.9,American (New),16,Italian,11,Mexican,11,1165898,797860,112649,65.9,28146,1086,1765,14569,3977,3443,1751,1555,10891,12863,2926,2112,3254,13697,11.2,,,290,0.41,236,10025
11232,47,1525,32.4,4.1,4,Chinese,7,Mexican,7,Latin American,5,602892,320453,57937,56.2,22923,1453,2840,11237,3417,2105,1070,801,11221,8378,4026,5334,3465,3934,12.0,,,488,0.07,708,4833
11233,29,1443,49.8,3.6,3.9,Chinese,4,Sandwiches,4,Breakfast & Brunch,3,440877,173469,58178,52.2,51398,4243,5177,20172,9781,5043,4543,2439,17251,22922,11313,6624,9815,7244,11.1,,,"1,772",0.03,1032,5261
11234,32,1138,35.6,3.6,3.8,Italian,6,Pizza,5,Asian Fusion,4,445226,370619,85627,58.2,75290,5273,6715,24281,13770,12621,6662,5968,26510,30877,13708,4013,15725,17226,10.7,,,"2,353",0.02,2115,8013
11235,119,4998,42,3.7,3.8,Russian,25,Pizza,12,Japanese,12,523710,470995,76282,51.3,61636,2791,4303,18207,11379,10284,6405,8267,20840,23333,9154,3572,8574,18570,11.9,,,518,0.08,1468,6389
11236,34,240,7.1,3.6,3.7,Restaurants,8,Caribbean,8,Chinese,4,365693,205379,74263,59.8,77225,6518,7649,26350,15609,11945,5375,3779,26880,34673,16090,6224,17270,14320,10.8,,,"2,271",0.00,10877,6904
11237,97,4926,50.8,4,4,Mexican,17,Breakfast & Brunch,9,Sandwiches,8,568157,201011,54144,57.3,41649,3384,6078,19586,5525,3868,1964,1244,18680,16377,5914,14061,4247,4757,11.9,,,429,0.12,820,4559
11238,110,14163,128.8,3.8,3.8,American (New),19,Mexican,14,Breakfast & Brunch,11,753874,537757,93028,66.8,44420,1563,4513,21952,5939,5384,2786,2283,17428,20360,4323,2522,6337,20093,12.1,,,404,0.32,345,7716
11239,6,194,32.3,2.8,2.6,Burgers,1,Sports Bars,1,Caribbean,1,372719,289723,50777,39.3,10617,633,1125,2895,1592,1082,1382,1908,1907,4787,1546,711,1984,1328,13.9,,,"1,770",0.02,329,3643
11354,141,12877,91.3,3.7,3.8,Chinese,50,Korean,40,Taiwanese,13,526039,510054,67889,55,48361,2365,3144,16863,8360,7702,4762,5165,17458,18611,9778,5575,7222,10350,13.3,,,343,0.27,530,5122
11355,143,6180,43.2,3.7,3.8,Chinese,68,Korean,16,Food Stands,7,471032,426560,63336,55.9,71330,3701,6370,25427,14338,9711,5926,5857,27836,28010,12934,12338,9746,14458,13.7,,,499,0.09,1651,4607
11356,35,882,25.2,3.6,3.6,Pizza,6,Chinese,4,Delis,4,554452,395517,77064,60.7,18260,1282,1499,7055,3071,2682,1329,1342,7225,7082,3765,2312,3271,3460,10.9,,,522,0.05,725,7066
11357,38,1503,39.6,3.8,3.7,Italian,15,Pizza,7,Delis,4,498795,578698,97365,55.1,33337,1663,2185,9754,6527,5089,3776,4343,11312,12243,5070,1816,5898,8586,11.4,,,877,0.05,842,8515
11358,103,3867,37.5,3.6,3.7,Korean,42,Japanese,13,Pizza,10,597814,476958,87032,57.3,32883,1654,2492,11624,6389,5140,2964,2620,12593,13052,5210,2906,5579,9458,12.0,,,319,0.12,877,7242
11360,18,805,44.7,3.2,3.3,Burgers,3,Steakhouses,3,American (Traditional),3,457892,546649,99635,53.6,17877,899,1111,4771,3152,3154,1978,2812,5914,6274,2048,509,2590,5930,11.1,,,993,0.05,400,8955
11361,103,6446,62.6,3.6,3.5,Korean,22,Pizza,11,Chinese,11,535289,481871,91829,58.9,24241,1396,1589,8316,4996,3579,2229,2136,8780,9700,3527,1575,4123,7666,10.7,,,235,0.27,387,8574
11362,54,1961,36.3,3.6,3.5,Japanese,8,Chinese,6,Italian,6,439315,625327,102857,58.2,15402,941,728,4245,3264,2644,1815,1765,5245,5636,1576,749,2227,5601,12.0,,,285,0.13,424,8567
11363,8,267,33.4,3.7,3.9,Italian,3,Delis,2,Barbeque,1,1382042,733276,137070,63.1,6025,328,463,1713,1303,1052,623,543,2376,2155,503,177,849,2539,12.8,,,753,0.04,180,10703
11364,31,1434,46.3,3.6,3.6,Chinese,6,Italian,5,Pizza,5,417441,547350,84975,57.7,28854,1344,1657,9465,5867,4968,2844,2709,10471,11486,4292,1329,5209,9470,12.2,,,931,0.05,623,6952
11365,27,1322,49,3.4,3.2,Chinese,9,Pizza,4,Burgers,3,536249,472900,74094,54.2,33467,1904,2623,10982,6614,5088,3184,3072,11958,13349,4571,2638,6447,9028,11.3,,,"1,240",0.04,683,6539
11366,42,1155,27.5,3.5,3.5,Chinese,9,Kosher,8,Pizza,6,567677,505017,96576,55,11191,748,1113,3075,2100,2046,1151,958,4036,4298,1346,708,1613,3554,11.2,,,266,0.10,407,8634
11367,47,1320,28.1,3.5,3.4,Pizza,9,Kosher,8,Chinese,6,312345,431336,75968,54.5,30346,1703,2732,11144,5012,4410,2752,2593,11433,11865,4238,1936,5118,9274,11.5,,,646,0.04,1080,6598
11368,76,2505,33,4.1,4,Latin American,24,Mexican,13,Pizza,8,489234,234394,58744,64.2,81574,5477,9349,38779,11880,8164,4299,3626,37777,30395,17659,22958,10969,7237,12.2,,,"1,073",0.03,2472,4802
11369,21,533,25.4,3.2,3.3,Chinese,4,Burgers,3,Sandwiches,3,549043,273238,67540,61.6,31857,2200,3639,12856,5257,3909,2038,1958,13440,12221,7361,5531,4896,4234,11.4,,,"1,517",0.02,1254,5915
11371,2,30,15,3.6,4.3,Buffets,1,Pizza,1,n/a,n/a,?,?,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,,,?,?,?,?
11372,158,7387,46.8,3.7,3.8,Latin American,38,Indian,18,Mexican,16,429791,321859,63975,62.5,53076,2321,4570,21569,10209,7123,4133,3151,23224,20247,9202,9498,8606,11595,12.8,,,336,0.14,1134,5000
11373,122,7288,59.7,3.7,3.7,Chinese,26,Thai,13,Mexican,11,534687,329027,62190,58.6,80723,4296,7666,34878,13537,9781,6517,4048,34627,31235,14718,16445,11739,15294,13.0,,,662,0.09,1352,4771
11374,60,3209,53.5,3.5,3.6,Chinese,10,American (Traditional),7,Russian,5,462536,431358,82140,59.4,35890,1255,2009,14257,5633,6032,3427,3277,13096,14835,4296,1398,6420,13808,11.8,,,598,0.09,671,6943
11375,90,11095,123.3,3.6,3.6,American (New),12,American (Traditional),9,Italian,8,422070,715197,103767,59.9,59383,2116,2900,22296,9902,9149,5698,7322,20482,23765,5863,1633,8075,25776,11.7,,,660,0.19,482,8852
11377,44,5898,134,3.9,3.9,Filipino,7,Mexican,7,Thai,7,458674,313172,65127,61.2,73191,3653,6620,32629,11077,9493,5292,4427,30410,29409,12474,11744,12363,16618,12.3,,,"1,663",0.08,546,5304
11378,14,755,53.9,4,4,Italian,4,Pizza,4,Burgers,2,469353,311319,72296,58.6,26329,1192,2041,9861,4528,4301,2168,2238,10168,10563,6162,2933,4971,4624,11.5,,,"1,881",0.03,488,6276
11379,32,650,20.3,3.7,3.7,Pizza,7,Chinese,6,Delis,5,494825,365401,87982,56.7,30176,1587,1927,9837,5395,4892,3155,3383,10778,11273,6090,2001,5412,6621,11.7,,,943,0.02,1487,7491
11385,65,3597,55.3,3.7,3.9,Italian,8,Pizza,7,American (Traditional),6,543753,262019,69057,57.8,79044,5286,7886,31683,13498,10551,5628,4512,31348,32270,19472,10397,14384,11479,11.8,,,"1,216",0.05,1429,5843
11411,20,62,3.1,3.2,3.4,Restaurants,4,Caribbean,4,Fast Food,3,300821,284382,88234,57.6,16565,1290,1393,4550,3202,2720,1893,1517,5748,6117,2723,865,3516,3368,13.6,,,828,0.00,5344,6512
11412,23,60,2.6,3.3,3.2,Caribbean,5,Restaurants,4,Indian,2,299276,240537,81575,59.6,29839,2279,3048,9471,6139,4042,2591,2269,10033,12667,5674,1982,7316,4680,11.2,,,"1,297",0.00,11477,7314
11413,28,221,7.9,3.5,3.7,Caribbean,8,Chinese,5,Fast Food,3,317517,251296,86603,60.9,31544,2131,2794,9966,6306,5078,2980,2289,10374,13770,5368,2575,7533,5874,11.4,,,"1,127",0.01,3993,7604
11414,41,1550,37.8,3.6,3.3,Italian,9,Pizza,7,Chinese,5,306633,361987,87326,54,23994,1131,1392,6946,3974,4120,3215,3216,7530,8902,4691,1937,4283,4129,11.9,,,585,0.06,635,7318
11415,38,1425,37.5,3.5,3.4,Pizza,6,Chinese,5,Burgers,4,348969,425629,81325,61.7,16445,880,1350,6431,2435,2698,1532,1119,6445,6469,2001,904,3167,5492,11.9,,,433,0.09,439,6855
11416,34,262,7.7,3.4,3.4,Chinese,8,Pizza,5,Spanish,3,351574,194213,69911,56.1,19293,1763,2053,7499,3325,2421,1314,918,7125,8173,4319,2794,3403,2729,12.8,,,567,0.01,2506,5470
11417,37,372,10.1,3.6,3.4,Pizza,11,Italian,5,Restaurants,5,365251,243403,77270,58.7,23769,1432,2480,9186,4649,3027,1726,1269,9588,9754,5963,3084,4409,3406,12.1,,,642,0.02,2353,6397
11418,48,615,12.8,3.7,3.5,Delis,7,Indian,6,Chinese,6,369768,275329,70183,61,29093,1965,2731,11602,5310,4188,1818,1479,12258,11573,6170,4702,4694,5534,11.6,,,606,0.02,2273,6073
11419,52,691,13.3,3.5,3.3,Caribbean,16,Restaurants,10,Indian,9,347986,238702,67136,57.7,39023,2815,4454,13720,7954,5989,2599,1492,15880,16237,10772,7127,4705,5059,12.7,,,750,0.02,2934,5266
11420,50,818,16.4,3.4,3.3,Restaurants,9,Caribbean,7,Pizza,7,339479,250859,75587,59.5,38681,3153,4113,13651,7375,5442,3068,1879,14481,16100,8992,5574,6338,5564,12.0,,,774,0.02,2359,6314
11421,43,284,6.6,3.5,3.4,Mexican,6,Pizza,6,Spanish,5,357479,237585,73247,59.2,32630,2514,3328,12836,6139,4245,2013,1555,13022,13526,6742,5065,5991,5422,11.1,,,759,0.01,4944,6580
11422,33,528,16,3.2,3.5,Caribbean,5,American (Traditional),4,Chinese,4,333827,252958,88594,65.9,25337,1926,2378,8701,5128,4009,1907,1288,8507,11709,4018,1604,6339,5877,12.4,,,768,0.02,1584,7153
11423,19,197,10.4,3.8,3.1,Chinese,3,American (New),3,Pizza,3,404195,350666,78800,58.8,26034,2123,2183,8737,4871,3632,2503,1985,9442,9981,4735,3125,4731,4649,12.0,,,"1,370",0.01,2503,6586
11426,26,432,16.6,3.4,3.6,Indian,7,Pizza,6,Halal,3,511644,386627,96004,60.6,14925,920,970,5005,3317,2403,1107,1203,5912,5783,2718,767,2900,4340,11.3,,,574,0.03,899,8532
11427,12,256,21.3,3.5,2.8,Diners,2,Burgers,2,Indian,2,380796,424398,87394,60.1,20228,1106,1879,6994,3965,3161,1779,1344,7675,8324,3719,1974,3498,4929,10.7,,,"1,686",0.01,950,8197
11428,24,191,8,3.3,3.3,Restaurants,4,Chinese,3,Indian,2,327794,289443,79245,63.4,16639,1093,1639,5814,3049,2837,1338,869,6620,6719,3443,1877,2907,3473,13.2,,,693,0.01,2080,6007
11429,14,78,5.6,3.3,3.3,Caribbean,4,Chinese,4,Delis,3,305337,256391,82062,56.9,23361,2055,2224,7955,4206,3266,2036,1619,8297,9354,4649,2036,5460,3282,11.6,,,"1,669",0.00,4172,7082
11430,43,1029,23.9,2.7,2.7,Fast Food,6,Burgers,5,American (New),5,?,?,-,40.6,101,0,5,46,20,25,5,0,96,0,51,20,10,10,10.1,,,2,10.19,4,?
11432,102,1424,14,3.6,3.5,Chinese,14,Indian,13,Pizza,12,592213,433990,70000,55.7,48249,3909,4946,16099,8528,6671,4450,3646,17499,18745,6993,6011,6704,11590,11.4,,,473,0.03,3446,6151
11433,15,85,5.7,3.6,3.4,Chicken Wings,4,Sandwiches,3,Caribbean,2,291931,197147,65457,54.2,23443,2060,2373,8566,3697,2954,2175,1618,7692,9898,4531,3158,4606,2922,10.8,,,"1,563",0.00,4113,6058
11434,40,352,8.8,3.6,3.5,Restaurants,6,Chinese,6,Caribbean,4,298234,224998,71446,56.9,48209,3686,4326,17439,8666,6538,3882,3672,16016,20953,9931,4332,11291,7089,11.1,,,"1,205",0.01,5478,6436
11435,43,767,17.8,3.5,3.8,Latin American,5,Chinese,5,Pizza,5,376762,256900,69254,58.7,42555,2628,3700,17335,7644,5995,3214,2039,17124,17550,7972,6473,6964,9565,11.5,,,990,0.02,2391,6026
11436,9,95,10.6,3.3,3.1,American (New),2,Caribbean,2,Chinese,2,267953,211720,75253,58.1,13642,1123,1288,4678,2469,2020,1148,916,4932,5523,3088,1404,2829,1846,12.5,,,"1,516",0.01,1287,6005
11691,20,80,4,3.4,3.5,Chinese,5,Pizza,4,Restaurants,3,468684,226391,64823,50.4,44693,3677,5174,15583,6852,5457,4116,3834,14757,18309,7967,6751,7087,6087,13.6,,,"2,235",0.00,11173,4773
11692,11,101,9.2,3.6,2.8,Chinese,2,American (New),2,Pizza,2,815068,260965,56726,49,12756,954,1037,4331,2702,1792,1034,906,4678,5184,2953,1868,2431,1573,12.2,,,"1,160",0.01,1387,4638
11694,39,483,12.4,3.6,3.4,Delis,5,Pizza,5,Chinese,4,536299,472143,91238,56,17425,1018,880,4977,3522,3260,1958,1810,6098,6541,2471,1176,3348,4764,12.6,,,447,0.03,1405,7229
11697,6,51,8.5,3.4,3.6,Bars,1,Burgers,1,American (New),1,3000001,62501,96169,47.1,3445,172,151,753,535,806,441,587,1104,1141,454,38,521,1081,19.1,,,574,0.01,405,5035
