zip_code,num_restaurants,num_reviews,num_reviews_per_restaurant,avg_total_reviews,avg_restaurant_rating,most_common_cat,num_most_common_cat,2nd_most_common_cat,num_2nd_most_common_cat,3rd_most_common_cat,num_3rd_most_common_cat,avg price per res. real estate sale (NYCData),avg price per res. real estate sale [improved] (NYCData),Mean income,Percentage Employed,Total Population,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher,Average inspection violations,,,pop_per_restaurant,num_reviews_per_capita,pop_peravg_bizreview,dollarsPerViolation
10025,129,15552,120.6,3.5,3.6,Italian,15,Pizza,13,Mexican,12,1669811,1450582,130124,58.8,84176,4115,8701,31761,12897,12250,7305,7147,29826,35783,4597,3454,7326,41531,12.4,,,653,0.18,698,10458
10026,57,5770,101.2,3.6,3.6,American (New),7,American (Traditional),6,African,4,1196620,641533,79862,56.4,29601,1669,3310,12923,5141,3527,1752,1279,11309,13592,4367,3228,4472,9524,12.1,,,519,0.19,293,6607
10027,77,10025,130.2,3.6,3.7,American (Traditional),9,American (New),8,Soul Food,7,1068777,506134,76443,48.8,51764,5844,7208,20125,7287,5666,2904,2730,18300,21986,6506,5206,6449,14917,11.8,,,672,0.19,398,6485
10028,85,10292,121.1,3.9,3.8,Italian,19,American (New),11,Mexican,7,1992760,2029671,188661,70.9,39395,652,2911,16405,5802,5551,4376,3698,13472,17197,1227,353,2503,23675,11.4,,,463,0.26,325,16579
10029,75,5080,67.7,3.8,3.8,Latin American,12,Mexican,12,Pizza,8,1804886,1024754,68048,51,63413,5026,7214,24399,9603,7989,4416,4766,22923,26282,10396,10740,8046,12809,12.4,,,846,0.08,937,5494
10030,38,922,24.3,3.6,3.4,Cafes,5,Caribbean,4,Seafood,4,1180305,352459,60933,51.2,23660,1859,2375,9695,4057,2908,1776,990,9019,10016,4197,3490,4048,4925,11.6,,,623,0.04,974,5263
10031,64,2416,37.8,3.7,3.8,Mexican,8,Latin American,7,American (New),5,1781877,375385,63223,57.8,48782,3272,5725,20887,7335,5166,3892,2505,18729,20384,6696,8050,8112,10530,12.1,,,762,0.05,1291,5222
10032,72,2183,30.3,3.5,3.6,Latin American,13,Mexican,9,Pizza,8,2150851,283745,54620,52.5,51978,3314,6468,20414,7638,6715,4145,3284,21233,20002,6489,11376,7908,8994,12.0,,,722,0.04,1715,4567
10033,45,2746,61,3.6,3.7,Latin American,9,Chinese,5,Spanish,5,1214812,261790,69739,56.9,48284,3032,5837,18479,7673,6549,3348,3366,19540,18998,6373,8043,7067,11218,12.3,,,"1,073",0.06,792,5659
10034,77,3014,39.1,3.4,3.4,Latin American,14,Mexican,8,Pizza,7,747787,166167,61341,61,33777,2056,3108,13382,6515,4663,2615,1438,14286,13382,4323,6300,5268,8669,13.0,,,439,0.09,864,4714
10035,35,1253,35.8,4,4,Pizza,5,Italian,4,Caribbean,3,824596,600359,62079,43.5,27638,1855,3277,10781,4267,3403,2138,1917,10864,10864,4530,5687,3500,4734,12.1,,,790,0.05,772,5132
10036,127,35931,282.9,3.8,3.8,American (New),24,Italian,20,American (Traditional),16,3677536,3185004,114944,69.9,21230,325,2222,10166,3495,2865,1355,802,10823,7925,1625,717,2673,11511,11.5,,,167,1.69,75,9967
10037,19,410,21.6,3.6,3.9,Chinese,3,Cafes,2,Restaurants,2,1249555,324741,62147,49.5,14741,1090,1513,4709,2380,2017,1568,1464,4390,6229,1363,1021,3077,3645,13.1,,,776,0.03,682,4761
10038,87,8244,94.8,3.6,3.6,Sandwiches,12,American (New),10,Italian,10,2625922,1383398,145260,60.2,18105,1070,2912,7222,2433,1705,1197,1566,6812,7460,1150,1461,1505,7244,11.3,,,208,0.46,191,12905
10039,29,299,10.3,3.7,3.3,Burgers,4,Chinese,4,Delis,4,1528443,663255,53530,50.8,19853,1415,2584,7555,3557,2095,1447,1200,7242,8549,3029,2631,3689,3858,12.1,,,685,0.02,1927,4406
10040,51,1359,26.6,3.6,3.4,Latin American,11,Mexican,6,Caribbean,5,1060922,209636,60952,56.5,36338,2265,3723,13205,5909,5220,3090,2926,12794,15263,4330,5929,5147,8928,11.2,,,713,0.04,1366,5459
10044,3,192,64,3.4,3.3,American (Traditional),2,Sushi Bars,1,Bars,1,940389,791675,111246,51.9,10584,513,1057,4048,1504,1418,1039,1005,3992,4035,903,698,1075,4294,11.2,,,"3,528",0.02,165,9916
