zip_code,num_restaurants,num_reviews,num_reviews_per_restaurant,avg_total_reviews,avg_restaurant_rating,most_common_cat,num_most_common_cat,2nd_most_common_cat,num_2nd_most_common_cat,3rd_most_common_cat,num_3rd_most_common_cat,avg price per res. real estate sale (NYCData),avg price per res. real estate sale [improved] (NYCData),Mean income,Percentage Employed,Total Population,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher,Average inspection violations
10030,38,922,24.3,3.6,3.4,Cafes,5,Caribbean,4,Seafood,4,1180305.194,352459.0023,60933,51.2,23660,1859,2375,9695,4057,2908,1776,990,9019,10016,4197,3490,4048,4925,11.57692308
10031,64,2416,37.8,3.7,3.8,Mexican,8,Latin American,7,American (New),5,1781876.643,375385.1023,63223,57.8,48782,3272,5725,20887,7335,5166,3892,2505,18729,20384,6696,8050,8112,10530,12.10736196
10032,72,2183,30.3,3.5,3.6,Latin American,13,Mexican,9,Pizza,8,2150851.282,283744.9689,54620,52.5,51978,3314,6468,20414,7638,6715,4145,3284,21233,20002,6489,11376,7908,8994,11.95903614
10033,45,2746,61,3.6,3.7,Latin American,9,Chinese,5,Spanish,5,1214812.325,261789.591,69739,56.9,48284,3032,5837,18479,7673,6549,3348,3366,19540,18998,6373,8043,7067,11218,12.32394366
10034,77,3014,39.1,3.4,3.4,Latin American,14,Mexican,8,Pizza,7,747786.8937,166166.9119,61341,61,33777,2056,3108,13382,6515,4663,2615,1438,14286,13382,4323,6300,5268,8669,13.01142857
10035,35,1253,35.8,4,4,Pizza,5,Italian,4,Caribbean,3,824596.4208,600358.6371,62079,43.5,27638,1855,3277,10781,4267,3403,2138,1917,10864,10864,4530,5687,3500,4734,12.09737828
10036,127,35931,282.9,3.8,3.8,American (New),24,Italian,20,American (Traditional),16,"3,677,536.31",3185004.134,114944,69.9,21230,325,2222,10166,3495,2865,1355,802,10823,7925,1625,717,2673,11511,11.53279425
10037,19,410,21.6,3.6,3.9,Chinese,3,Cafes,2,Restaurants,2,1249554.66,324741.4292,62147,49.5,14741,1090,1513,4709,2380,2017,1568,1464,4390,6229,1363,1021,3077,3645,13.05357143
10038,87,8244,94.8,3.6,3.6,Sandwiches,12,American (New),10,Italian,10,2625922.175,1383398.117,145260,60.2,18105,1070,2912,7222,2433,1705,1197,1566,6812,7460,1150,1461,1505,7244,11.2559727
10039,29,299,10.3,3.7,3.3,Burgers,4,Chinese,4,Delis,4,1528443.468,663254.6551,53530,50.8,19853,1415,2584,7555,3557,2095,1447,1200,7242,8549,3029,2631,3689,3858,12.14851485
10040,51,1359,26.6,3.6,3.4,Latin American,11,Mexican,6,Caribbean,5,1060922.153,209635.953,60952,56.5,36338,2265,3723,13205,5909,5220,3090,2926,12794,15263,4330,5929,5147,8928,11.16591928
10044,3,192,64,3.4,3.3,American (Traditional),2,Sushi Bars,1,Bars,1,"940,389.43",791674.8765,111246,51.9,10584,513,1057,4048,1504,1418,1039,1005,3992,4035,903,698,1075,4294,11.21875
10065,59,6396,108.4,3.7,3.5,French,11,Italian,10,American (New),5,2556195.978,2798094.768,195705,67.3,29193,388,1819,13267,3643,3292,3978,2806,9725,12296,1328,235,1838,16801,11.91654466
10069,5,315,63,3.7,3.5,Cafes,2,Japanese,1,American (New),1,"2,644,723.80",2028143.203,250323,75.2,4367,8,37,2959,528,451,242,142,1907,2068,6,12,206,3714,14.25
10075,51,7321,143.5,3.7,3.6,Italian,11,American (New),6,Sushi Bars,5,1822330.164,2566607.063,178669,67.1,21498,200,1182,9053,2264,3817,3017,1965,6386,9930,506,203,1520,12905,11.43569554
10111,3,175,58.3,3.5,3.5,Brasseries,1,Restaurants,1,French,1,?,?,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18181818
10128,82,10521,128.3,3.7,3.8,Italian,11,Breakfast & Brunch,10,American (New),10,1887680.449,1781966.506,168459,67.7,51804,1213,3363,23314,7905,6875,4880,4254,17962,23495,1553,778,3915,31848,12.12816189
10280,5,482,96.4,3.2,3.3,American (Traditional),2,Tex-Mex,1,Mediterranean,1,1159348.377,1159348.377,168310,78.1,6328,125,356,3164,1381,855,316,131,2619,3137,112,64,779,4445,10.72727273
10281,16,696,43.5,3.2,3.6,American (Traditional),3,Mexican,2,Sushi Bars,1,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.487179487
10282,12,1276,106.3,3.7,3.5,Breakfast & Brunch,2,Singaporean,1,Barbeque,1,"2,498,981.50","2,498,981.50",333950,74.4,3834,47,92,2689,466,141,111,288,1611,1777,42,53,340,2861,7.816326531
10301,51,1187,23.3,3.8,3.7,Pizza,11,Mexican,7,Italian,6,367624.9643,326209.3582,79845,52.7,31087,2746,3658,10342,5360,4438,2291,2252,11902,11896,5083,2734,5211,7112,11.60818713
10302,46,843,18.3,3.8,3.6,Pizza,10,Chinese,8,Sandwiches,5,307211.5325,227564.0769,78084,54.6,12937,938,1219,5032,2241,1773,745,989,5133,5132,2999,1655,2548,1844,12.41818182
10303,27,357,13.2,3.4,3.2,Fast Food,4,Pizza,4,Chinese,3,248314.9437,208335.0776,75336,53.8,19041,1751,2182,7351,3594,2284,1024,855,7014,8397,4650,2005,3699,2875,12.65925926
10304,27,520,19.3,3.8,3.9,American (New),5,Pizza,4,Spanish,3,517688.869,391015.6151,75984,55.3,32903,2679,3435,10816,6228,4730,2392,2623,11974,13235,6361,3961,5286,6166,13.14772727
10305,69,1911,27.7,3.7,3.7,Italian,16,Pizza,10,Chinese,8,381618.2615,"311,055.59",87716,52.2,33721,1698,2921,11393,6288,5448,3186,2787,12950,13100,6695,2933,5691,7810,11.48553055
10306,44,1123,25.5,3.8,3.8,Italian,11,Pizza,7,American (Traditional),4,"429,310.97",386361.136,99688,55.7,45085,2701,3196,14780,8754,6793,4634,4227,15842,17681,8530,2018,9681,10098,10.91348601
10307,27,223,8.3,3.6,3.7,Italian,9,Pizza,5,0,2,540881.0615,426122.8508,113660,58.7,11020,818,929,3791,2580,1393,1013,496,4355,4338,2210,401,2436,2717,10.58241758
10308,44,727,16.5,3.5,3.6,Italian,15,Pizza,11,Chinese,5,392959.0123,350222.6717,105486,55.5,23415,1605,1742,7022,4836,3850,2569,1791,8213,9237,5312,939,4295,5162,11.62427746
10309,48,825,17.2,3.6,3.6,Pizza,8,American (New),7,Italian,7,531587.0194,"420,168.85",107387,57.4,24981,1327,1978,9572,4897,3907,2255,1045,10610,9744,5771,1300,5643,5662,11.62396694
10310,44,742,16.9,3.6,3.6,Italian,7,Pizza,7,Delis,5,347134.6611,298792.8321,86572,55.8,18748,1834,1533,6609,3864,2568,1225,1115,7152,7422,3721,1521,3728,4071,13.30054645
10312,36,583,16.2,3.6,3.7,Pizza,10,Italian,7,American (New),4,438916.7656,381721.1767,101855,57.8,49320,3195,3873,16129,9498,9137,4805,2683,18868,19769,10967,1856,10133,11808,11.58943089
10314,72,2102,29.2,3.4,3.6,Pizza,16,Italian,10,American (Traditional),7,384894.1461,328952.8788,93990,55.6,71209,4713,4935,22722,13161,12400,7162,6116,25747,27471,15272,3509,13000,16502,11.71890145
10451,49,652,13.3,3.4,3.8,American (Traditional),9,Pizza,8,Latin American,5,642566.6519,263318.5666,41049,47.9,34545,2890,4171,12528,5795,4192,2856,2113,11470,15216,5972,7548,5506,3489,10.63157895
10452,28,154,5.5,3.6,3.4,American (New),4,Burgers,3,Restaurants,3,1496220.154,151263.8909,39803,51.9,54172,5136,5665,22356,9508,6723,3099,1685,20860,23392,11006,13432,10192,3957,11.86479592
10453,26,103,4,3.6,3.8,Mexican,4,Latin American,4,Burgers,3,2252628.145,172923.3534,39541,52.3,58578,5996,6869,22219,11435,7150,3187,1722,21797,25876,11550,14002,10466,4786,11.67318436
10454,32,323,10.1,4.1,3.6,Chinese,5,Restaurants,4,Mexican,4,614773.6842,141099.776,39082,44.5,28057,3218,3677,10220,4480,3012,1979,1471,10438,10951,5003,7174,3947,1588,12.13194444
10455,56,296,5.3,3.8,3.7,Mexican,15,Pizza,6,Fast Food,5,937341.1624,121534.4736,38806,45.1,26767,2216,3009,11104,4240,2791,2137,1270,9405,11739,5094,7561,3766,1714,11.42895442
10456,32,129,4,3.5,3.4,Restaurants,4,Chinese,4,Pizza,4,1151450.674,126825.9065,39166,46.1,65814,6468,7459,25396,11575,7799,4350,2767,23382,28847,11429,17064,11578,4699,12.60906516
10457,20,79,4,3.4,3.7,Burgers,3,Latin American,3,Diners,3,758323.3633,116867.7926,40912,46.4,50631,5765,6556,18906,9159,4969,3251,2025,17597,21993,8865,11859,8162,4148,10.40625
10458,116,2453,21.1,3.9,3.8,Italian,23,Pizza,18,Chinese,12,1117260.852,144591.2293,43945,49.5,56368,6020,7972,21978,9312,6004,3270,1812,21942,23324,10395,12921,9182,4796,11.5387931
10459,29,67,2.3,3.6,3.4,Pizza,7,Chinese,5,Restaurants,4,890041.3911,133950.7591,40561,46.3,32904,3780,3827,12651,5197,3533,2270,1646,10929,14279,5189,8495,5186,2511,11.73559322
