zip_code,num_restaurants,num_reviews,num_reviews_per_restaurant,avg_total_reviews,avg_restaurant_rating,most_common_cat,num_most_common_cat,2nd_most_common_cat,num_2nd_most_common_cat,3rd_most_common_cat,num_3rd_most_common_cat,avg price per res. real estate sale (NYCData),avg price per res. real estate sale [improved] (NYCData),Mean income,Percentage Employed,Total Population,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher,Average inspection violations,pop_per_restaurant,num_reviews_per_capita,pop_peravg_bizreview,dollarsPerViolation,percent_most_common,percent_with_bachelor_plus,Neighborhood,Borough,Zillow Home Value Index (USD),Median Single Family Home Value (USD),Percent Homes Decreasing(%),Percent Listing Price Reduction(%),Median List Price Per Sq Ft(USD),Median List Price (USD),Median Sale Price (USD),Property Tax (USD),Turnover (Sold Within Last Yr.) (%),Median Value Per Sq Ft (USD),1-Yr. Change (USD),BuiltYear<1900 (%),BuiltYear>2000 (%),BuiltYear1900-1919 (%),BuiltYear1920-1939 (%),BuiltYear1940-1959 (%),BuiltYear1960-1979 (%),BuiltYear1980-1999 (%),HomeSize<1000sqft (%),HomeSize>3600sqft (%),HomeSize1000-1400sqft (%),HomeSize1400-1800sqft (%),HomeSize1800-2400sqft (%),HomeSize2400-3600sqft (%),average_year_built_per_zip,average_home_size_per_zip,sale_price_vs_year_built,list_price_vs_sale_price,homesize_val_per_sqft_vs_list_price,zillow_index_vs_median_list_price,median_list_sqft_vs_median_val_sqft
10012,170,57065,335.7,3.9,3.9,American (New),28,Italian,26,French,15,2930141,3269783,130260,70.4,22589,696,2455,10956,2604,2714,1715,1449,9812,8917,929,869,1357,13119,11.4,133,2.53,67,11471,16%,58%,Greenwich Village and Soho,Manhattan,0,0,0,0.137,0,3250000,1437800,10802,0.072,2347,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.4424, 0.0, 0.0, 0.0
10013,121,32999,272.7,3.9,3.9,American (New),27,Chinese,21,Italian,18,3376279,3040994,197372,60.1,22693,919,3282,8838,2855,3501,1824,1474,8975,9501,2275,2242,1523,9154,12.9,188,1.45,83,15288,22%,40%,Greenwich Village and Soho,Manhattan,3079000,0,0.19,0.068,0,4775000,2630000,13016,0.059,2446,0.195,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.5507853403141362, 0.0, 0.6448167539267016, 0.0
10014,154,47505,308.5,3.9,3.9,American (New),42,Italian,27,Bars,16,2914956,3342461,169443,74.1,28620,558,1977,14677,3801,3755,2372,1480,11389,12821,811,187,2151,19084,11.7,186,1.66,93,14462,27%,67%,Greenwich Village and Soho,Manhattan,0,0,0,0.184,0,2150000,964000,10213,0.066,2330,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.4483720930232558, 0.0, 0.0, 0.0
10016,104,24984,240.2,3.8,3.9,American (New),15,Sandwiches,12,Breakfast & Brunch,9,1797734,1439636,164224,72.8,48552,1157,6693,24292,5761,4650,3532,2467,19090,22306,1438,674,3252,29339,12.1,467,0.51,202,13556,14%,60%,Gramercy Park and Murray Hill,Manhattan,0,0,0,0.189,0,899000,643000,8969,0.078,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.7152391546162402, 0.0, 0.0, 0.0
10017,119,18085,152,3.8,3.7,Italian,18,Japanese,17,American (New),16,1716265,2337306,166578,78.2,15217,27,1637,7705,1946,1578,1399,925,6102,6764,515,183,1065,9466,12.1,128,1.19,100,13801,15%,62%,Gramercy Park and Murray Hill,Manhattan,0,0,0,0.204,0,720000,537100,9994,0.073,1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.7459722222222223, 0.0, 0.0, 0.0
10018,50,10196,203.9,3.8,3.8,Italian,8,American (New),7,Japanese,6,3944114,3584563,128736,72.2,5760,129,856,3310,635,503,249,78,3015,2289,479,496,523,2950,12,115,1.77,28,10743,16%,51%,Chelsea,Manhattan,0,0,0,0.106,0,1125000,660300,5188,0.084,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.5869333333333333, 0.0, 0.0, 0.0
10019,178,59730,335.6,3.9,3.9,American (New),30,Italian,25,American (Traditional),19,688168,512101,142527,69.9,37419,458,2932,18956,5362,4514,2718,2479,15685,16079,2387,1315,3664,21466,11.2,210,1.6,111,12717,17%,57%,Chelsea,Manhattan,0,0,0,0.136,0,1795000,640200,9195,0.074,1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.3566573816155989, 0.0, 0.0, 0.0
10020,10,2490,249,4.1,3.8,Steakhouses,5,American (Traditional),2,Burgers,1,700000000,700000000,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,?,?,?,?,50%,?,Chelsea,Manhattan,0,0,0,0,0,7750000,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10021,79,12334,156.1,3.8,3.7,Italian,14,American (New),9,French,7,2193965,2356529,187485,65.8,36953,633,1580,15588,4920,5459,4541,4232,11868,15679,1158,511,2034,22264,11.7,468,0.33,237,15982,18%,60%,Upper East Side,Manhattan,0,0,0,0.178,0,1545000,918500,12660,0.073,1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.5944983818770226, 0.0, 0.0, 0.0
10022,103,21267,206.5,3.7,3.8,Italian,13,American (New),12,French,10,1566553,2067354,192809,66.9,26981,358,1728,9863,3878,4321,3391,3442,9058,10732,880,178,1754,15250,11.4,262,0.79,131,16845,13%,57%,Gramercy Park and Murray Hill,Manhattan,0,0,0,0.181,0,1625000,743100,10389,0.079,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.45729230769230766, 0.0, 0.0, 0.0
10023,116,17283,149,3.6,3.5,Italian,18,American (New),14,French,10,1860030,2457433,185262,65.2,52569,1588,2731,21262,7627,8241,5100,6020,19286,20575,1988,923,3424,30795,11.4,453,0.33,353,16208,16%,59%,Upper West Side,Manhattan,0,0,0,0.22,0,1150000,985200,11390,0.065,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.8566956521739131, 0.0, 0.0, 0.0
10024,103,25329,245.9,3.7,3.6,American (Traditional),17,Italian,17,Breakfast & Brunch,12,2284032,2158215,198029,68.7,49991,1055,2359,20399,8702,7518,5904,4054,18150,20828,2479,1021,3486,29633,11.7,485,0.51,203,16971,17%,59%,Upper West Side,Manhattan,0,0,0,0.144,0,1550000,1102200,11794,0.074,1464,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.7110967741935484, 0.0, 0.0, 0.0
10025,129,15552,120.6,3.5,3.6,Italian,15,Pizza,13,Mexican,12,1669811,1450582,130124,58.8,84176,4115,8701,31761,12897,12250,7305,7147,29826,35783,4597,3454,7326,41531,12.4,653,0.18,698,10458,12%,49%,Upper West Side,Manhattan,1037900,0,0.171,0.181,1191,925000,831000,5135,0.061,1201,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.8983783783783784, 0.0, 1.122054054054054, 0.9916736053288926
10026,57,5770,101.2,3.6,3.6,American (New),7,American (Traditional),6,African,4,1196620,641533,79862,56.4,29601,1669,3310,12923,5141,3527,1752,1279,11309,13592,4367,3228,4472,9524,12.1,519,0.19,293,6607,12%,32%,Central Harlem,Manhattan,0,0,0,0.08,850,1125000,773800,540,0.07,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.6878222222222222, 0.0, 0.0, 0.7720254314259763
10027,77,10025,130.2,3.6,3.7,American (Traditional),9,American (New),8,Soul Food,7,1068777,506134,76443,48.8,51764,5844,7208,20125,7287,5666,2904,2730,18300,21986,6506,5206,6449,14917,11.8,672,0.19,398,6485,12%,29%,Central Harlem,Manhattan,921300,0,0.125,0.138,0,585000,421000,484,0.08,802,0.186,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.7196581196581197, 0.0, 1.574871794871795, 0.0
10028,85,10292,121.1,3.9,3.8,Italian,19,American (New),11,Mexican,7,1992760,2029671,188661,70.9,39395,652,2911,16405,5802,5551,4376,3698,13472,17197,1227,353,2503,23675,11.4,463,0.26,325,16579,22%,60%,Upper East Side,Manhattan,0,0,0,0.231,0,1595000,913300,11592,0.08,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.572601880877743, 0.0, 0.0, 0.0
10029,75,5080,67.7,3.8,3.8,Latin American,12,Mexican,12,Pizza,8,1804886,1024754,68048,51,63413,5026,7214,24399,9603,7989,4416,4766,22923,26282,10396,10740,8046,12809,12.4,846,0.08,937,5494,16%,20%,East Harlem,Manhattan,726600,0,0.119,0.214,916,838000,670000,4012,0.088,909,0.131,0.2125154895,0.1957868649,0.3079306072,0.2118959108,0.021685254,0.0167286245,0.0334572491,0,0,0,0,0,0, 	1932.156133825, 0.0, 346.76286676358393, 0.7995226730310262, 0.0, 0.8670644391408114, 1.0077007700770078
