zip_code,num_restaurants,num_reviews,num_reviews_per_restaurant,avg_total_reviews,avg_restaurant_rating,most_common_cat,num_most_common_cat,2nd_most_common_cat,num_2nd_most_common_cat,3rd_most_common_cat,num_3rd_most_common_cat,avg price per res. real estate sale (NYCData),avg price per res. real estate sale [improved] (NYCData),Mean income,Percentage Employed,Total Population,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher,Average inspection violations,pop_per_restaurant,num_reviews_per_capita,pop_peravg_bizreview,dollarsPerViolation,percent_most_common,percent_with_bachelor_plus,Neighborhood,Borough,Zillow Home Value Index (USD),Median Single Family Home Value (USD),Percent Homes Decreasing(%),Percent Listing Price Reduction(%),Median List Price Per Sq Ft(USD),Median List Price (USD),Median Sale Price (USD),Property Tax (USD),Turnover (Sold Within Last Yr.) (%),Median Value Per Sq Ft (USD),1-Yr. Change (USD),BuiltYear<1900 (%),BuiltYear>2000 (%),BuiltYear1900-1919 (%),BuiltYear1920-1939 (%),BuiltYear1940-1959 (%),BuiltYear1960-1979 (%),BuiltYear1980-1999 (%),HomeSize<1000sqft (%),HomeSize>3600sqft (%),HomeSize1000-1400sqft (%),HomeSize1400-1800sqft (%),HomeSize1800-2400sqft (%),HomeSize2400-3600sqft (%),average_year_built_per_zip,average_home_size_per_zip,sale_price_vs_year_built,list_price_vs_sale_price,homesize_val_per_sqft_vs_list_price,zillow_index_vs_median_list_price,median_list_sqft_vs_median_val_sqft
10040,51,1359,26.6,3.6,3.4,Latin American,11,Mexican,6,Caribbean,5,1060922,209636,60952,56.5,36338,2265,3723,13205,5909,5220,3090,2926,12794,15263,4330,5929,5147,8928,11.2,713,0.04,1366,5459,22%,25%,Inwood and Washington Heights,Manhattan,0,0,0,0.187,0,389000,327300,6178,0.112,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.841388174807198, 0.0, 0.0, 0.0
10044,3,192,64,3.4,3.3,American (Traditional),2,Sushi Bars,1,Bars,1,940389,791675,111246,51.9,10584,513,1057,4048,1504,1418,1039,1005,3992,4035,903,698,1075,4294,11.2,3528,0.02,165,9916,67%,41%,Upper East Side,Manhattan,0,0,0,0.438,0,745000,47445200,1989,0.041,961,0,0,0.9948275862,0,0,0,0,0,0.6546112116,0,0.287522604,0.0524412297,0,0, 	1989.6551724, 1083.5443039200002, 23845.941074688704, 63.6848322147651, 1.3976994309625774, 0.0, 0.0
10065,59,6396,108.4,3.7,3.5,French,11,Italian,10,American (New),5,2556196,2798095,195705,67.3,29193,388,1819,13267,3643,3292,3978,2806,9725,12296,1328,235,1838,16801,11.9,495,0.22,269,16423,19%,58%,Upper East Side,Manhattan,0,0,0,0.221,0,1950000,887800,12913,0.079,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.4552820512820513, 0.0, 0.0, 0.0
10069,5,315,63,3.7,3.5,Cafes,2,Japanese,1,American (New),1,2644724,2028143,250323,75.2,4367,8,37,2959,528,451,242,142,1907,2068,6,12,206,3714,14.3,873,0.07,69,17567,40%,85%,Upper West Side,Manhattan,0,0,0,0.182,0,3120000,1650000,7403,0.07,1814,0,0,0,0,0,0,0,0,0.3711956522,0.010326087,0.2684782609,0.172826087,0.1206521739,0.0559782609, 	0.0, 1260.43478287, 0.0, 0.5288461538461539, 0.7328297102968525, 0.0, 0.0
10075,51,7321,143.5,3.7,3.6,Italian,11,American (New),6,Sushi Bars,5,1822330,2566607,178669,67.1,21498,200,1182,9053,2264,3817,3017,1965,6386,9930,506,203,1520,12905,11.4,422,0.34,150,15624,22%,60%,Upper East Side,Manhattan,0,0,0,0.252,1409,999000,642000,11188,0.083,1347,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.6426426426426426, 0.0, 0.0, 1.0460282108389012
10111,3,175,58.3,3.5,3.5,Brasseries,1,Restaurants,1,French,1,?,?,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,?,?,?,?,33%,?,Chelsea,Manhattan,0,0,0,0.252,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10128,82,10521,128.3,3.7,3.8,Italian,11,Breakfast & Brunch,10,American (New),10,1887680,1781967,168459,67.7,51804,1213,3363,23314,7905,6875,4880,4254,17962,23495,1553,778,3915,31848,12.1,632,0.2,404,13890,13%,61%,Upper East Side,Manhattan,0,0,0,0.243,0,1199000,849800,11672,0.067,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.7087572977481235, 0.0, 0.0, 0.0
10280,5,482,96.4,3.2,3.3,American (Traditional),2,Tex-Mex,1,Mediterranean,1,1159348,1159348,168310,78.1,6328,125,356,3164,1381,855,316,131,2619,3137,112,64,779,4445,10.7,1266,0.08,66,15690,40%,70%,Lower Manhattan,Manhattan,725200,0,0.16,0.286,1046,699000,628000,13280,0.045,1030,0.207,0,0,0,0,0,0,0,0.8359326263,0,0.1316281971,0.0208983157,0.0084217093,0.0084217093, 	0.0, 1045.00935747, 0.0, 0.8984263233190272, 1.5398564208785408, 1.0374821173104436, 1.0155339805825243
10281,16,696,43.5,3.2,3.6,American (Traditional),3,Mexican,2,Sushi Bars,1,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,?,?,?,?,19%,?,Lower Manhattan,Manhattan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10282,12,1276,106.3,3.7,3.5,Breakfast & Brunch,2,Singaporean,1,Barbeque,1,2498982,2498982,333950,74.4,3834,47,92,2689,466,141,111,288,1611,1777,42,53,340,2861,7.8,320,0.33,36,42725,17%,75%,Lower Manhattan,Manhattan,0,0,0,0.091,0,2650000,1868300,0,0.109,1855,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.7050188679245283, 0.0, 0.0, 0.0
10301,51,1187,23.3,3.8,3.7,Pizza,11,Mexican,7,Italian,6,367625,326209,79845,52.7,31087,2746,3658,10342,5360,4438,2291,2252,11902,11896,5083,2734,5211,7112,11.6,610,0.04,1334,6878,22%,23%,Stapleton and St. George,Staten Island,412800,447600,0.31,0.338,276,425000,475400,3384,0.032,282,0.073,0.0409034568,0.0665197631,0.1293210302,0.365514392,0.137997521,0.1220217601,0.1377220768,0.1193438914,0.0815893665,0.1681278281,0.2037613122,0.2345871041,0.1882070136, 	1946.337969973, 1433.47002265, 244.25357123695986, 1.1185882352941177, 0.951149520911294, 0.9712941176470589, 0.9787234042553191
10302,46,843,18.3,3.8,3.6,Pizza,10,Chinese,8,Sandwiches,5,307212,227564,78084,54.6,12937,938,1219,5032,2241,1773,745,989,5133,5132,2999,1655,2548,1844,12.4,281,0.07,707,6288,22%,14%,Port Richmond,Staten Island,320600,320600,0.282,0.296,236,329000,280000,2694,0.027,218,0.025,0.0632780083,0.0855809129,0.1859439834,0.3970435685,0.1314834025,0.0783195021,0.0583506224,0.0771829522,0.0192307692,0.3071725572,0.257016632,0.2406444906,0.0982328482, 	1939.004149574, 1431.60083142, 144.4040230968645, 0.851063829787234, 0.9485987272023101, 0.9744680851063829, 1.0825688073394495
10303,27,357,13.2,3.4,3.2,Fast Food,4,Pizza,4,Chinese,3,248315,208335,75336,53.8,19041,1751,2182,7351,3594,2284,1024,855,7014,8397,4650,2005,3699,2875,12.7,705,0.02,1443,5951,15%,15%,Port Richmond,Staten Island,279600,285100,0.216,0.342,204,269000,200000,2349,0.027,202,0.07,0.0374351371,0.1745737583,0.1039659007,0.1293550778,0.0492957746,0.1275018532,0.3778724981,0.149195058,0.0093597903,0.3000748783,0.2465368776,0.2186447024,0.0743167353, 	1967.401778703, 1396.59303624, 101.65691734397487, 0.7434944237918215, 1.0487427260984385, 1.0394052044609665, 1.00990099009901
10304,27,520,19.3,3.8,3.9,American (New),5,Pizza,4,Spanish,3,517689,391016,75984,55.3,32903,2679,3435,10816,6228,4730,2392,2623,11974,13235,6361,3961,5286,6166,13.1,1219,0.02,1705,5779,19%,19%,Stapleton and St. George,Staten Island,385500,392800,0.313,0.355,255,360000,293000,3174,0.032,245,0.043,0.0418356704,0.123768687,0.1106733109,0.1643295863,0.1170471665,0.1768455209,0.2655000579,0.1329262565,0.0829027713,0.2312118365,0.1855331141,0.2368482856,0.1256458431, 	1960.121682503, 1503.0648193, 149.4805157330081, 0.8138888888888889, 1.0229191131347222, 1.0708333333333333, 1.0408163265306123
10305,69,1911,27.7,3.7,3.7,Italian,16,Pizza,10,Chinese,8,381618,311056,87716,52.2,33721,1698,2921,11393,6288,5448,3186,2787,12950,13100,6695,2933,5691,7810,11.5,489,0.06,1217,7637,23%,23%,Stapleton and St. George,Staten Island,370500,377600,0.432,0.356,259,399000,354800,3240,0.029,263,0.004,0.0176494184,0.1285599679,0.0750100281,0.1409947854,0.117729643,0.2439831528,0.2760730044,0.1417577967,0.0250101256,0.2317739976,0.219218307,0.2795666262,0.1009518023, 	1965.471319691, 1447.7622522000001, 180.51649822892333, 0.8892230576441102, 0.954289404332331, 0.9285714285714286, 0.9847908745247148
10306,44,1123,25.5,3.8,3.8,Italian,11,Pizza,7,American (Traditional),4,429311,386361,99688,55.7,45085,2701,3196,14780,8754,6793,4634,4227,15842,17681,8530,2018,9681,10098,10.9,1025,0.02,1768,9134,25%,22%,South Shore,Staten Island,397700,404400,0.388,0.423,288,419000,368800,3539,0.035,293,0.009,0.0053539934,0.0920886873,0.0173217435,0.1558327035,0.1434240363,0.3539304611,0.2320483749,0.1514957811,0.0197519816,0.2892482741,0.2236001023,0.2221298901,0.0931347481, 	1966.8342151690001, 1393.93377667, 187.50944901998812, 0.8801909307875895, 0.974755600392148, 0.9491646778042959, 0.9829351535836177
10307,27,223,8.3,3.6,3.7,Italian,9,Pizza,5,0,2,540881,426123,113660,58.7,11020,818,929,3791,2580,1393,1013,496,4355,4338,2210,401,2436,2717,10.6,408,0.02,1328,10740,33%,25%,South Shore,Staten Island,482300,489200,0.251,0.494,285,589900,450000,3574,0.029,293,0.066,0.0231822972,0.1825605901,0.1209167545,0.1322444679,0.0547945205,0.0571654373,0.4291359326,0.1078639745,0.1596705632,0.1198193411,0.1503719447,0.1790648247,0.2810839532, 	1968.56427838, 1443.0924547299999, 228.59299284365795, 0.7628411595185625, 0.7167758759720121, 0.8175962027462281, 0.9726962457337884
10308,44,727,16.5,3.5,3.6,Italian,15,Pizza,11,Chinese,5,392959,350223,105486,55.5,23415,1605,1742,7022,4836,3850,2569,1791,8213,9237,5312,939,4295,5162,11.6,532,0.03,1419,9075,34%,22%,South Shore,Staten Island,407000,413000,0.313,0.492,287,424900,424800,3557,0.026,276,0.012,0.0071230231,0.0581914765,0.0152118798,0.0994808644,0.0930822166,0.4637208741,0.2631896656,0.1105996366,0.016353725,0.2887946699,0.2556026651,0.2316172017,0.0954572986, 	1969.68610426, 1411.38703821, 215.66888200168066, 0.9997646505060014, 0.916787061769734, 0.9578724405742528, 1.039855072463768
10309,48,825,17.2,3.6,3.6,Pizza,8,American (New),7,Italian,7,531587,420169,107387,57.4,24981,1327,1978,9572,4897,3907,2255,1045,10610,9744,5771,1300,5643,5662,11.6,520,0.03,1452,9238,17%,23%,South Shore,Staten Island,456400,471900,0.251,0.494,246,499900,386200,3920,0.032,251,0.035,0.0126869053,0.1948346171,0.0180108745,0.0498414137,0.0471227911,0.0970774807,0.5804259175,0.0603956959,0.0963785723,0.121022793,0.1441629064,0.2954992479,0.2809209765, 	1982.4218394020002, 1403.79497861, 194.81222024697715, 0.7725545109021804, 0.7048460484719145, 0.9129825965193039, 0.9800796812749004
10310,44,742,16.9,3.6,3.6,Italian,7,Pizza,7,Delis,5,347135,298793,86572,55.8,18748,1834,1533,6609,3864,2568,1225,1115,7152,7422,3721,1521,3728,4071,13.3,426,0.04,1109,6509,16%,22%,Port Richmond,Staten Island,390500,397400,0.176,0.383,267,379900,351500,3205,0.033,251,0.07,0.0831234257,0.0906801008,0.1344008636,0.3751349406,0.1523929471,0.0548758546,0.1093918676,0.0680100756,0.0289672544,0.2808564232,0.2759985606,0.2315581144,0.1138898884, 	1942.1410579380001, 1437.18963648, 180.98582415697072, 0.9252434851276652, 0.9495514576374835, 1.0279020794946039, 1.0637450199203187
10312,36,583,16.2,3.6,3.7,Pizza,10,Italian,7,American (New),4,438917,381721,101855,57.8,49320,3195,3873,16129,9498,9137,4805,2683,18868,19769,10967,1856,10133,11808,11.6,1370,0.01,3044,8789,28%,24%,South Shore,Staten Island,420500,425400,0.209,0.457,260,435000,407400,3613,0.031,272,0.036,0.0011258092,0.0925978047,0.0062482409,0.0400788066,0.077061638,0.39386434,0.3890233605,0.0726914414,0.0523648649,0.2217905405,0.2025900901,0.3004504505,0.1490427928, 	1976.94905694, 1482.4436938500003, 206.07511284614984, 0.9365517241379311, 0.9269532982234484, 0.9666666666666667, 0.9558823529411765
10314,72,2102,29.2,3.4,3.6,Pizza,16,Italian,10,American (Traditional),7,384894,328953,93990,55.6,71209,4713,4935,22722,13161,12400,7162,6116,25747,27471,15272,3509,13000,16502,11.7,989,0.03,2439,8020,22%,23%,Mid-Island,Staten Island,388500,417600,0.24,0.322,259,399900,363500,3242,0.031,268,0.036,0.0046063652,0.0470268007,0.0191373534,0.0832077052,0.1206030151,0.3667504188,0.3586683417,0.1266277309,0.0123296561,0.2421804023,0.188492321,0.3030067056,0.1249405148, 	1971.327052122, 1399.53277098, 184.39355337244365, 0.9089772443110777, 0.9379214369158289, 0.9714928732183046, 0.9664179104477612
10451,49,652,13.3,3.4,3.8,American (Traditional),9,Pizza,8,Latin American,5,642567,263319,41049,47.9,34545,2890,4171,12528,5795,4192,2856,2113,11470,15216,5972,7548,5506,3489,10.6,705,0.02,2597,3861,18%,10%,High Bridge and Morrisania,Bronx,0,0,0,0.109,0,160000,0,145,0.099,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10452,28,154,5.5,3.6,3.4,American (New),4,Burgers,3,Restaurants,3,1496220,151264,39803,51.9,54172,5136,5665,22356,9508,6723,3099,1685,20860,23392,11006,13432,10192,3957,11.9,1935,0,9849,3355,14%,7%,High Bridge and Morrisania,Bronx,0,0,0,0.138,0,145000,0,1088,0.052,112,0,0.1024464832,0.1865443425,0.2706422018,0.3119266055,0.0290519878,0,0.0978593272,0,0,0,0,0,0, 	1937.0489296389999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10453,26,103,4,3.6,3.8,Mexican,4,Latin American,4,Burgers,3,2252628,172923,39541,52.3,58578,5996,6869,22219,11435,7150,3187,1722,21797,25876,11550,14002,10466,4786,11.7,2253,0,14645,3387,15%,8%,Central Bronx,Bronx,0,0,0,0.222,0,324000,0,2156,0.059,159,0,0.0575256107,0.0654058314,0.2876280536,0.3388494878,0.0094562648,0.0094562648,0.231678487,0,0,0,0,0,0, 	1940.992907999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10454,32,323,10.1,4.1,3.6,Chinese,5,Restaurants,4,Mexican,4,614774,141100,39082,44.5,28057,3218,3677,10220,4480,3012,1979,1471,10438,10951,5003,7174,3947,1588,12.1,877,0.01,2778,3221,16%,6%,Hunts Point and Mott Haven,Bronx,0,0,0,0.071,0,350000,0,1308,0.029,172,0,0.0626506024,0.2084337349,0.3771084337,0.1096385542,0,0,0.2397590361,0,0.09963548,0.0364520049,0.0753341434,0.4993924666,0.2709599028, 	1944.277108148, 1571.68894318, 0.0, 0.0, 0.7723728520770287, 0.0, 0.0
10455,56,296,5.3,3.8,3.7,Mexican,15,Pizza,6,Fast Food,5,937341,121534,38806,45.1,26767,2216,3009,11104,4240,2791,2137,1270,9405,11739,5094,7561,3766,1714,11.4,478,0.01,5050,3395,27%,6%,Hunts Point and Mott Haven,Bronx,0,0,0,0.25,0,259900,0,1536,0.028,268,0,0.0363815143,0.1779744346,0.343166175,0.0560471976,0,0,0.3785644051,0.0367428004,0.1092353525,0.1350546177,0.0546176763,0.3247269116,0.317775571, 	1941.671582994, 1361.37040708, 0.0, 0.0, 1.4037986498554829, 0.0, 0.0
10456,32,129,4,3.5,3.4,Restaurants,4,Chinese,4,Pizza,4,1151451,126826,39166,46.1,65814,6468,7459,25396,11575,7799,4350,2767,23382,28847,11429,17064,11578,4699,12.6,2057,0,16454,3106,13%,7%,High Bridge and Morrisania,Bronx,256200,285700,0.265,0.105,201,349000,0,1117,0.039,208,0.078,0.0952879581,0.1863874346,0.2293193717,0.2062827225,0,0,0.277486911,0.0464509395,0.1503131524,0.2379958246,0.0548016701,0.1649269311,0.3168058455, 	1941.193717271, 1307.2025051300002, 0.0, 0.0, 0.7790777107938109, 0.7340974212034383, 0.9663461538461539
10457,20,79,4,3.4,3.7,Burgers,3,Latin American,3,Diners,3,758323,116868,40912,46.4,50631,5765,6556,18906,9159,4969,3251,2025,17597,21993,8865,11859,8162,4148,10.4,2532,0,12658,3931,15%,8%,Central Bronx,Bronx,0,0,0,0.143,0,315000,0,1842,0.044,158,0,0.1035834267,0.1438969765,0.3477043673,0.1746920493,0.0089585666,0.0246360582,0.1965285554,0,0,0,0,0,0, 	1941.931690925, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10458,116,2453,21.1,3.9,3.8,Italian,23,Pizza,18,Chinese,12,1117261,144591,43945,49.5,56368,6020,7972,21978,9312,6004,3270,1812,21942,23324,10395,12921,9182,4796,11.5,486,0.04,2671,3808,20%,9%,Bronx Park and Fordham,Bronx,0,0,0,0.067,0,125000,0,2418,0.07,136,0,0.0231958763,0.0676546392,0.5019329897,0.3318298969,0.0180412371,0.0096649485,0.0476804124,0,0,0,0,0,0, 	1927.3775775170002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10459,29,67,2.3,3.6,3.4,Pizza,7,Chinese,5,Restaurants,4,890041,133951,40561,46.3,32904,3780,3827,12651,5197,3533,2270,1646,10929,14279,5189,8495,5186,2511,11.7,1135,0,14306,3456,24%,8%,Hunts Point and Mott Haven,Bronx,268500,308600,0.485,0.261,175,214000,0,1614,0.031,183,0.027,0.0271710176,0.1523708045,0.210442195,0.1177410762,0,0,0.4896110815,0.0465698548,0.0951427141,0.1627441162,0.1196795193,0.2573860791,0.2934401602, 	1959.605753965, 1316.37456199, 0.0, 0.0, 1.1256847889914487, 1.2546728971962617, 0.9562841530054644
10460,26,137,5.3,3.5,3.5,Burgers,5,Spanish,5,Fast Food,4,792713,131337,40470,48.7,41064,4614,4909,14836,7355,4872,2531,1947,14365,17607,7668,9768,6413,3214,9.7,1579,0,7748,4157,19%,8%,Central Bronx,Bronx,0,0,0,0.122,0,199000,0,2925,0.09,140,0,0.0718954248,0.161387632,0.2624434389,0.2765208648,0.0191050779,0.0201106083,0.1885369532,0.0149100257,0.1460154242,0.0550128535,0.0899742931,0.2812339332,0.3835475578, 	1945.671191359, 1341.1311057, 0.0, 0.0, 0.9435093205929649, 0.0, 0.0
10461,93,1917,20.6,3.7,3.6,Pizza,17,Chinese,12,Italian,12,398917,240597,70465,55.5,42216,2354,3075,15566,7440,5714,3647,4420,16056,15739,7668,4639,8181,8232,11,454,0.05,2049,6405,18%,19%,Southeast Bronx,Bronx,0,0,0,0.232,251,429000,348000,3674,0.034,259,0,0.0197165742,0.0414356131,0.089340727,0.4711953173,0.2660197166,0.0979667283,0.0143253235,0.0283788021,0.0736908122,0.1091251176,0.2284415177,0.2585449984,0.2982126058, 	1940.423598283, 1333.0667921, 179.34228397754526, 0.8111888111888111, 0.8048118861396271, 0.0, 0.9691119691119691
10462,109,1631,15,3.8,3.6,Pizza,22,Mexican,12,Chinese,11,393297,131553,58813,56.8,59226,3854,4785,24382,9959,7898,4636,3712,21815,25209,10741,8445,12080,10973,11,543,0.03,3948,5352,20%,19%,Southeast Bronx,Bronx,106800,0,0.716,0.236,152,140000,116700,1126,0.023,161,-0.079,0,0,0,0,0,0,0,0.7317911847,0.0251953736,0.0455767427,0.036761488,0.0706470772,0.0874648328, 	0.0, 1084.36386382, 0.0, 0.8335714285714285, 1.247018443393, 0.7628571428571429, 0.9440993788819876
10465,37,762,20.6,3.7,3.9,Pizza,9,Italian,7,American (Traditional),3,416011,330244,83904,54.4,35884,2388,3365,11313,5963,5492,3519,3844,13039,13094,6490,2718,7012,6548,11.6,970,0.02,1742,7261,24%,18%,Southeast Bronx,Bronx,389900,396100,0.416,0.28,257,410000,388300,3777,0.037,250,0.001,0,0.0901577761,0.030052592,0.3112947658,0.2668419735,0.2354119709,0.0649887303,0.0806431353,0.0570280116,0.1494787087,0.2414269564,0.2689360633,0.1997236528, 	1951.945905209, 1416.3672906699999, 198.92969316607352, 0.9470731707317073, 0.8636385918719511, 0.9509756097560975, 1.028
10466,25,126,5,4.1,4.2,Caribbean,7,Pizza,5,Chinese,3,492516,195289,59625,55.7,55257,4637,5765,18616,10038,8179,4896,3126,18370,24228,10887,7199,10595,8152,12.5,2210,0,11051,4755,28%,15%,Northeast Bronx,Bronx,337000,337100,0.287,0.1,229,389000,417000,3216,0.031,235,0.016,0.0140021916,0.0448070133,0.0796298551,0.3904785097,0.2566662608,0.1698526726,0.0445634969,0.0213106677,0.0651638335,0.1617393447,0.2091648189,0.2618871643,0.2781473269, 	1945.585048099, 1334.61443721, 214.33141686992508, 1.0719794344473008, 0.8062580790343188, 0.8663239074550129, 0.9744680851063829
10467,32,328,10.3,3.7,3.9,Pizza,7,Chinese,6,Mexican,4,682760,151767,52065,54,73216,5716,7114,29513,12437,8659,5354,4423,25972,31751,14231,12218,13530,10630,11.6,2288,0,7108,4504,22%,15%,Bronx Park and Fordham,Bronx,312300,0,0.095,0.129,0,299000,212600,2741,0.075,199,0.066,0.0228512075,0.0875097377,0.2227992729,0.3508179694,0.1859257336,0.1165930927,0.0135029862,0.0835084034,0.149947479,0.0480567227,0.1137079832,0.2134978992,0.3715861345, 	1939.9480654330002, 1311.26575648, 109.59056264866929, 0.7110367892976589, 0.8727153362525751, 1.0444816053511705, 0.0
10468,58,603,10.4,3.5,3.4,Mexican,11,Pizza,9,Restaurants,8,1021367,139961,46206,54.7,56168,4661,6969,21516,10231,6587,3217,2987,20787,24516,11231,10601,9643,6859,11.4,968,0.01,5401,4045,19%,12%,Bronx Park and Fordham,Bronx,0,0,0,0.211,0,138000,0,2513,0.081,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10469,44,401,9.1,3.4,3.5,Caribbean,9,Chinese,7,Pizza,7,350724,237915,73377,52.3,56620,4504,5357,18016,10754,7709,5099,5181,18684,23152,9050,5401,11734,10294,11.5,1287,0.01,6222,6359,20%,18%,Northeast Bronx,Bronx,355200,356700,0.296,0.175,221,379000,371000,3443,0.033,242,0.034,0.009191699,0.0601724628,0.0321235668,0.2044916138,0.4792949872,0.1737894438,0.0409362267,0.0244601567,0.0494935983,0.0964074145,0.2507166062,0.3331740875,0.2453659469, 	1952.195584391, 1419.13816165, 190.04243374299807, 0.978891820580475, 0.9061515438503959, 0.9372031662269129, 0.9132231404958677
10470,18,207,11.5,3.8,3.6,Pizza,6,Sandwiches,3,Pubs,2,375149,247926,72272,57.2,12604,667,1071,4824,1855,2063,967,1157,4779,5034,2651,1025,2405,2661,11.4,700,0.02,1096,6346,33%,21%,Northeast Bronx,Bronx,0,0,0,0.28,0,329000,0,3604,0.036,179,0,0.023255814,0.0394337715,0.2143579373,0.4251769464,0.1097067745,0.160768453,0.0273003033,0.0158405723,0.0868676546,0.0792028615,0.213592233,0.2866632601,0.3111905979, 	1937.8058645070003, 1367.3479816699999, 0.0, 0.0, 0.7439370477779027, 0.0, 0.0
10471,32,580,18.1,3.6,3.5,Pizza,7,Delis,5,Mexican,3,466129,820887,119726,54.2,18441,1715,1728,4933,3018,2677,1764,2606,6226,6130,1543,549,1960,6576,10.2,576,0.03,1019,11704,22%,36%,Kingsbridge and Riverdale,Bronx,762500,904500,0.215,0.353,0,278000,214200,6974,0.071,272,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0, 	0.0, 0.0, 0.0, 0.7705035971223022, 0.0, 2.7428057553956835, 0.0
10472,44,283,6.4,3.5,3.4,Chinese,9,Mexican,7,Pizza,7,696825,147409,50337,52,51216,4283,5845,19701,8738,6421,3739,2489,20120,20585,9617,12522,8257,4464,11.1,1164,0.01,8003,4535,20%,9%,Southeast Bronx,Bronx,0,0,0,0.1,0,425000,0,3176,0.044,172,0,0.007831488,0.0372670807,0.0656224683,0.5927626249,0.1609505806,0.1250337564,0.0105320011,0.0051728832,0.1372175334,0.0465559488,0.0977402668,0.1628096923,0.5453307923, 	1939.835268697, 1053.30792271, 0.0, 0.0, 0.4262799122496941, 0.0, 0.0
10473,13,88,6.8,3.6,3.9,Spanish,2,American (New),2,Chinese,2,437338,229259,60116,50.3,45966,4276,4734,14968,7965,6661,4530,2832,14526,19802,8834,6585,8637,5538,11.8,3536,0,6760,5106,15%,12%,Southeast Bronx,Bronx,324400,327900,0.366,0.25,231,325000,405600,2338,0.072,235,0.025,0.0076801891,0.2107128791,0.0472627019,0.2644742024,0.1199291059,0.2069712485,0.1429696731,0.0895752896,0.0291505792,0.2133204633,0.1727799228,0.2635135135,0.2303088803, 	1962.753052379, 1280.3281855100001, 206.64851317305718, 1.248, 0.9257757649072308, 0.9981538461538462, 0.9829787234042553
10474,13,65,5,3.2,3.2,Barbeque,2,Delis,2,Pizza,2,737192,109443,37063,43.8,9137,674,1182,3984,1671,791,615,220,3960,3668,1690,2554,1642,560,10.6,703,0.01,1827,3508,15%,6%,Hunts Point and Mott Haven,Bronx,0,0,0.733,0.071,0,475000,0,1715,0.042,0,0,0.0927318296,0.2155388471,0.335839599,0.328320802,0,0,0,0,0,0,0,0,0, 	1881.453634094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10475,37,426,11.5,2.6,2.6,Burgers,6,Chinese,6,American (Traditional),5,341492,232611,66637,50.5,35411,2171,2580,9253,6879,5858,4499,4171,10949,13621,5481,2912,7872,5725,10.5,957,0.01,3079,6364,16%,16%,Northeast Bronx,Bronx,0,0,0,0.062,0,182000,0,3323,0.081,151,0,0,0.2079831933,0.0588235294,0.218487395,0.1722689076,0.1995798319,0.1365546218,0.094017094,0.0811965812,0.1153846154,0.1987179487,0.2136752137,0.297008547, 	1950.840336149, 1291.45299149, 0.0, 0.0, 1.0714802292032417, 0.0, 0.0
11001,44,812,18.5,3.9,3.9,American (New),7,Pizza,7,Italian,6,458833,408979,115923,64,21954,1472,1561,6715,4412,3947,1946,1901,7791,8844,3516,945,3935,6678,13.3,499,0.04,1187,8694,16%,30%,Northwest Queens,Queens,503400,503400,0.227,0.327,325,515000,511300,6920,0.027,332,0.045,0.0071265295,0.0121016539,0.0595670297,0.5109587199,0.3177356461,0.0763748823,0.0161355385,0.0291902072,0.00322841,0.3093892924,0.3817594835,0.2180521926,0.057842346, 	1939.7485543299997, 1480.80441214, 263.59086535141455, 0.9928155339805825, 0.9546156598650097, 0.9774757281553398, 0.9789156626506024
