ZIP CODE,Mean income ,Percentage Employed,Total Population ,Total 16 to 19 years,Total 20 to 24 years,Total 25 to 44 years,Total 45 to 54 years,Total 55 to 64 years,Total 65 to 74 years,Total 75 years and over,Total Male,Total Female,Total High school graduate,Total Less than high school graduate,Total Some college or associate's degree,Total Bachelor's degree or higher
10172,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10173,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10174,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10177,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10199,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10271,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10278,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10279,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10280,168310,78.1,6328,125,356,3164,1381,855,316,131,2619,3137,112,64,779,4445
10282,333950,74.4,3834,47,92,2689,466,141,111,288,1611,1777,42,53,340,2861
10301,79845,52.7,31087,2746,3658,10342,5360,4438,2291,2252,11902,11896,5083,2734,5211,7112
10302,78084,54.6,12937,938,1219,5032,2241,1773,745,989,5133,5132,2999,1655,2548,1844
10303,75336,53.8,19041,1751,2182,7351,3594,2284,1024,855,7014,8397,4650,2005,3699,2875
10304,75984,55.3,32903,2679,3435,10816,6228,4730,2392,2623,11974,13235,6361,3961,5286,6166
10305,87716,52.2,33721,1698,2921,11393,6288,5448,3186,2787,12950,13100,6695,2933,5691,7810
10306,99688,55.7,45085,2701,3196,14780,8754,6793,4634,4227,15842,17681,8530,2018,9681,10098
10307,113660,58.7,11020,818,929,3791,2580,1393,1013,496,4355,4338,2210,401,2436,2717
10308,105486,55.5,23415,1605,1742,7022,4836,3850,2569,1791,8213,9237,5312,939,4295,5162
10309,107387,57.4,24981,1327,1978,9572,4897,3907,2255,1045,10610,9744,5771,1300,5643,5662
10310,86572,55.8,18748,1834,1533,6609,3864,2568,1225,1115,7152,7422,3721,1521,3728,4071
10311,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10312,101855,57.8,49320,3195,3873,16129,9498,9137,4805,2683,18868,19769,10967,1856,10133,11808
10314,93990,55.6,71209,4713,4935,22722,13161,12400,7162,6116,25747,27471,15272,3509,13000,16502
10451,41049,47.9,34545,2890,4171,12528,5795,4192,2856,2113,11470,15216,5972,7548,5506,3489
10452,39803,51.9,54172,5136,5665,22356,9508,6723,3099,1685,20860,23392,11006,13432,10192,3957
10453,39541,52.3,58578,5996,6869,22219,11435,7150,3187,1722,21797,25876,11550,14002,10466,4786
10454,39082,44.5,28057,3218,3677,10220,4480,3012,1979,1471,10438,10951,5003,7174,3947,1588
10455,38806,45.1,26767,2216,3009,11104,4240,2791,2137,1270,9405,11739,5094,7561,3766,1714
10456,39166,46.1,65814,6468,7459,25396,11575,7799,4350,2767,23382,28847,11429,17064,11578,4699
10457,40912,46.4,50631,5765,6556,18906,9159,4969,3251,2025,17597,21993,8865,11859,8162,4148
10458,43945,49.5,56368,6020,7972,21978,9312,6004,3270,1812,21942,23324,10395,12921,9182,4796
10459,40561,46.3,32904,3780,3827,12651,5197,3533,2270,1646,10929,14279,5189,8495,5186,2511
10460,40470,48.7,41064,4614,4909,14836,7355,4872,2531,1947,14365,17607,7668,9768,6413,3214
10461,70465,55.5,42216,2354,3075,15566,7440,5714,3647,4420,16056,15739,7668,4639,8181,8232
10462,58813,56.8,59226,3854,4785,24382,9959,7898,4636,3712,21815,25209,10741,8445,12080,10973
10463,78298,55.7,56095,3005,4494,19546,8837,8322,5534,6357,18484,22715,6432,6212,9376,14685
10464,79131,60.2,3633,168,319,656,732,860,446,452,1297,1270,532,174,582,960
10465,83904,54.4,35884,2388,3365,11313,5963,5492,3519,3844,13039,13094,6490,2718,7012,6548
10466,59625,55.7,55257,4637,5765,18616,10038,8179,4896,3126,18370,24228,10887,7199,10595,8152
10467,52065,54,73216,5716,7114,29513,12437,8659,5354,4423,25972,31751,14231,12218,13530,10630
10468,46206,54.7,56168,4661,6969,21516,10231,6587,3217,2987,20787,24516,11231,10601,9643,6859
10469,73377,52.3,56620,4504,5357,18016,10754,7709,5099,5181,18684,23152,9050,5401,11734,10294
10470,72272,57.2,12604,667,1071,4824,1855,2063,967,1157,4779,5034,2651,1025,2405,2661
10471,119726,54.2,18441,1715,1728,4933,3018,2677,1764,2606,6226,6130,1543,549,1960,6576
10472,50337,52,51216,4283,5845,19701,8738,6421,3739,2489,20120,20585,9617,12522,8257,4464
10473,60116,50.3,45966,4276,4734,14968,7965,6661,4530,2832,14526,19802,8834,6585,8637,5538
10474,37063,43.8,9137,674,1182,3984,1671,791,615,220,3960,3668,1690,2554,1642,560
10475,66637,50.5,35411,2171,2580,9253,6879,5858,4499,4171,10949,13621,5481,2912,7872,5725
10501,152505,64.7,901,47,2,308,210,185,112,37,325,380,144,30,181,348
10502,183752,61.1,4282,436,296,802,1001,838,365,544,1415,1522,36,102,468,2035
10503,166503,47.3,237,0,0,26,15,157,26,13,97,101,0,0,43,155
10504,303649,62.8,5675,474,244,1494,1803,799,414,447,2132,2208,454,1,553,3088
10505,176468,74.5,459,35,31,119,172,65,0,37,205,182,46,0,99,211
10506,259052,62.8,3813,260,137,986,874,719,502,335,1244,1472,260,60,308,1951
10507,143489,46.3,5745,321,372,2471,1233,644,397,307,1788,2932,1052,760,1094,1442
10509,120379,65.4,16049,1135,1270,5051,4037,2417,1150,989,6568,6207,2453,898,3309,4845
10510,232844,58.5,8142,800,559,1804,1958,1233,746,1042,2620,2934,222,147,566,4060
10511,115354,64.7,1925,139,125,659,384,302,168,148,789,681,436,87,429,393
10512,111310,62.3,20093,1546,1086,5884,4582,3649,1804,1542,7589,7612,3511,583,4409,5612
10514,305334,62.7,9227,862,386,2389,2302,1878,848,562,3195,3760,278,86,725,5480
10516,109504,61.6,4136,159,129,1301,935,667,536,409,1411,1621,542,77,767,1517
10517,101070,71.5,557,51,28,269,109,32,38,30,211,227,99,27,195,89
10518,228640,63.3,1112,125,42,242,366,218,52,67,431,437,79,18,92,637
10519,124607,69,126,28,0,29,59,0,10,0,31,57,29,0,0,59
10520,143009,62.8,10702,572,399,2849,2179,2231,1267,1205,3825,3833,764,453,1778,4264
10522,134674,57.8,8996,1127,808,2147,1659,1500,761,994,2839,3275,932,113,875,3386
10523,89750,64.7,6374,364,595,2390,912,1098,653,362,2387,2608,1221,403,1036,1740
10524,122486,63.4,3589,151,201,957,899,642,434,305,1380,1319,607,38,474,1379
10526,181512,70.5,1293,73,46,419,303,263,142,47,522,509,52,30,144,759
10527,223583,62.8,920,87,56,244,312,113,66,42,378,347,40,0,90,539
10528,156529,60.9,9834,638,425,3672,1854,1344,944,957,3680,3615,1265,412,1413,3780
10530,132834,61.6,10142,344,270,3024,1669,1788,1298,1749,3053,3698,736,90,1206,4449
10532,133368,64.8,4138,202,383,1130,976,691,265,491,1612,1568,543,111,895,1248
10533,213674,62.2,5792,453,189,1464,1373,1183,487,643,1895,2314,368,178,890,2584
10535,102803,61.6,555,62,17,222,104,63,59,28,213,193,83,0,102,204
10536,213529,58.3,8088,678,307,1871,2409,1504,562,757,3130,2961,355,197,975,4257
10537,82648,61.1,1515,79,43,519,587,170,33,84,708,611,292,41,402,541
10538,269365,62,12180,865,610,3302,3139,1852,1453,959,4293,4610,446,90,820,6937
10541,115327,67.1,21026,1618,1575,6136,4782,3760,1962,1193,8237,8016,3807,844,4081,5946
10543,137963,62.2,15828,945,1058,5182,3397,2382,1084,1780,6013,6006,2008,1341,1685,5927
10545,-,24.6,114,11,20,18,0,6,17,42,44,0,9,0,7,8
10546,175432,79.9,965,29,45,379,241,149,96,26,385,429,56,52,139,522
10547,120726,59.2,6105,316,487,1772,1528,854,502,646,2346,2295,902,141,1630,1481
10548,118723,63.6,2503,75,96,680,581,551,260,260,964,944,279,60,644,829
10549,133547,63.9,12354,775,919,4090,2749,1649,1060,1112,4765,4642,1043,1129,1762,4554
10550,59056,55.7,28785,2402,2592,10670,4836,3851,2539,1895,9652,12297,6950,3269,6015,3123
10552,94100,63.2,16505,602,793,5951,3225,2620,1520,1794,5897,6692,2284,1050,2764,5698
10553,66731,59.2,8257,910,729,2406,1820,1160,691,541,2765,3350,1617,522,2151,1096
10560,200953,59.4,3825,193,256,717,1011,740,464,444,1409,1315,279,79,525,1585
10562,105584,63.3,25699,1247,1601,9910,5068,4161,1914,1798,11514,9226,3708,4703,3253,7475
10566,80732,65.9,18935,1026,1542,7920,3079,2732,1286,1350,7721,7552,3339,2528,3897,3967
10567,136443,62,15638,1119,881,4407,3813,2694,1311,1413,5606,6189,2008,684,2926,5296
10570,176262,62.3,10109,1126,1069,2527,2047,1773,746,821,3652,3764,709,117,1140,4381
10573,107902,65.5,30201,1891,2634,11260,5617,3698,2156,2945,12221,10988,4742,5124,4137,6572
10576,247320,62.1,3884,178,159,793,719,975,698,362,1206,1440,143,29,379,1936
10577,276620,42.1,4696,1771,1126,529,412,357,224,277,994,1430,58,0,226,1014
10578,174819,48.7,493,64,0,118,94,59,35,123,129,142,30,0,99,142
10579,120978,64.9,7271,549,392,2252,1380,1468,820,410,2704,2788,898,168,1628,2406
10580,276908,53.5,12250,859,502,3403,2988,1963,1056,1479,4337,4519,592,186,1157,6419
10583,248583,60.8,28842,2076,1133,8003,7338,4366,3185,2741,9970,10870,1309,205,2394,15799
10588,98673,59.7,1699,52,37,666,283,287,200,174,540,733,119,32,424,661
10589,142050,47,7030,266,214,1113,1154,1145,1250,1888,1549,2077,410,46,647,2309
10590,179851,64.6,5157,456,317,1206,1462,1010,438,268,2028,1967,293,43,677,2665
10591,116186,63.5,18073,1118,1209,6746,3046,2688,1720,1546,6605,7084,2323,1525,2418,6214
10594,128125,65.8,3952,366,343,1150,817,586,365,325,1410,1486,608,184,666,1095
10595,135020,44.7,6802,420,812,2334,1183,913,419,721,3047,2195,680,442,1218,2090
10596,56785,59.5,920,54,53,303,235,120,80,75,410,301,167,118,278,95
10597,213028,53.2,864,174,49,84,263,80,110,104,250,226,0,0,19,408
10598,136348,60.7,22450,1897,1265,5451,4826,4191,2396,2424,7623,8110,2494,506,3477,7991
10601,109922,64.3,8895,168,466,3974,1155,1230,871,1031,3109,3716,1179,517,1412,3251
10603,109198,70,14317,922,1129,5708,2491,1634,1449,984,5338,5624,2019,678,2404,4732
10604,129487,62.4,9717,566,791,3489,1924,1367,720,860,4009,3562,1760,873,1648,2499
10605,144991,64.9,14581,544,1087,4233,2607,2791,1901,1418,5245,5473,1518,659,1682,5772
10606,104109,65.3,13048,640,775,5333,2372,1592,1192,1144,5420,4652,2593,1593,1590,3521
10607,164316,75.2,5464,331,237,1852,1216,897,555,376,2049,2153,528,500,867,2070
10701,66458,58,48410,3970,4370,18195,8101,6461,3805,3508,17822,19305,9158,7682,8352,7565
10703,73192,53.6,15876,1285,1398,5101,2557,2277,1672,1586,5708,5625,2682,1573,2796,2884
10704,81778,57.7,25114,1180,1676,8915,4088,3838,2749,2668,8749,9768,5639,1418,3823,5961
10705,68347,56.9,29886,2246,2980,10836,5477,4095,2157,2095,10920,12468,6054,4320,5225,4809
10706,169591,63,6684,336,409,1593,1456,1276,878,736,2240,2494,382,86,676,3181
10707,131069,61.1,8324,625,526,2676,1743,1062,889,803,2661,3346,741,331,1052,3357
10708,159937,60.3,17644,1080,1285,4845,3385,3243,1899,1907,5862,6896,1130,285,2246,7812
10709,141095,58.9,7414,463,401,2210,1613,974,870,883,2642,2556,920,238,1019,2620
10710,98038,58.9,21509,899,1439,6669,3608,3780,2258,2856,7157,8339,3168,910,3777,6202
10801,80804,58.6,32883,3024,4031,10844,5969,4284,2383,2348,12327,12801,5546,4280,4708,6563
10803,218036,65.6,9176,821,367,3019,2030,1464,849,626,3292,3588,879,154,1091,4389
10804,225344,60.1,11590,767,607,2724,2577,2134,1411,1370,3690,4352,501,126,1169,5639
10805,71967,58,14984,984,926,4962,2396,2220,1441,2055,5058,5446,2641,1450,2399,3088
10901,135431,63.1,18764,1218,1033,5582,3628,2715,2228,2360,6293,6665,1808,538,2975,6604
10910,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10911,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10913,163217,58.6,3992,513,405,840,935,577,286,436,1318,1439,301,115,611,1325
10914,143554,95.7,162,0,0,162,0,0,0,0,83,79,0,0,94,68
10915,N,29.1,158,0,7,39,33,76,3,0,78,77,71,33,6,38
10916,108105,58.6,3489,374,384,789,843,448,353,298,1184,1280,622,61,678,719
10917,101201,63.9,1450,110,87,407,352,228,132,134,486,588,197,77,268,445
10918,98755,64.5,9159,642,557,3107,2259,1339,719,536,3443,3819,1480,294,2570,2361
10919,106374,64.2,1033,110,30,253,320,183,91,46,367,419,180,144,253,179
10920,121575,66.1,6865,463,480,1943,1501,1238,747,493,2452,2710,931,284,1136,2331
10921,88229,65.1,3388,61,197,904,602,943,374,307,1285,1361,760,239,691,759
10922,84387,64.6,973,36,62,291,249,164,127,44,368,398,242,8,251,203
10923,93728,62.3,7113,645,555,2624,1474,755,706,354,2620,2788,1151,662,1586,1454
10924,98675,56.9,10407,673,749,3002,2136,1738,1070,1039,3775,3850,1462,597,2202,2615
10925,102585,64.3,3417,244,196,1249,812,464,335,117,1469,1252,728,70,1002,725
10926,87776,77.6,2436,165,182,939,528,282,158,182,1011,920,299,97,746,607
10927,83597,60.9,9126,655,1077,3537,1371,1124,748,614,3541,3568,1440,1803,1402,1387
10928,72695,61.8,3131,215,156,1128,738,530,178,186,1283,1269,646,180,794,776
10930,127373,67.3,6816,756,199,2230,1742,976,524,389,2522,2625,715,94,1464,2675
10931,89733,70.3,768,50,58,249,182,138,53,38,332,295,223,48,188,110
10932,N,62,142,12,51,0,11,68,0,0,39,91,0,0,68,11
10933,113644,32.9,365,36,0,200,90,0,0,39,149,141,9,0,170,111
10940,74163,59.9,37511,3075,3162,13250,6898,5349,3010,2767,14161,14498,7136,4685,8248,5428
10941,82420,64.3,10949,1106,833,3957,1979,1431,1198,445,3724,4476,2002,636,2554,2175
10950,94617,63.1,29214,2593,3054,11204,5714,3986,1534,1129,11820,12138,5221,3114,6025,6544
10952,80094,54.7,23550,2915,2769,7830,3654,3357,1498,1527,8861,8749,5230,1844,3036,4731
10953,82286,35,123,0,0,23,0,20,45,35,22,21,10,0,0,33
10954,108186,61.8,19077,1381,1346,5392,3936,3281,1743,1998,7150,6805,2436,973,3129,6071
10956,143114,61.5,24958,1511,1777,6493,5213,4568,3088,2308,8977,9074,2295,524,3556,9899
10958,92226,59.6,2642,106,235,809,640,371,322,159,1132,923,623,195,464,538
10960,120073,64.2,12724,1098,872,4359,2273,1989,976,1157,4657,4836,976,565,2175,4905
10962,119549,43.4,4771,347,125,1359,978,845,629,488,1870,1437,692,517,795,1178
10963,75741,30.9,3328,201,240,1521,699,452,137,78,2236,676,1073,392,762,445
10964,134933,52.6,1286,54,58,284,247,222,177,244,374,437,71,39,186,457
10965,118547,61.3,11318,660,739,3576,2390,1681,1236,1036,4207,4179,1371,184,2152,3940
10968,112657,58,2037,115,123,402,282,602,317,196,519,890,181,49,283,773
10969,99346,79.2,1277,51,147,480,410,54,45,90,677,414,164,106,388,286
10970,103503,59.7,7484,453,460,2233,1504,1384,793,657,2537,3044,1078,593,1277,2173
10973,92680,66.1,1883,278,98,753,451,121,62,120,791,632,559,122,344,300
10974,115473,67.9,2464,200,295,691,585,336,174,183,1021,886,378,40,510,684
10975,73712,87.9,305,0,28,146,11,83,18,19,140,128,53,0,115,72
10976,84049,50,1772,273,190,376,283,149,176,325,419,579,166,82,166,394
10977,78109,62.8,40762,3964,4524,15301,6880,5132,2896,2065,15912,15925,6871,6006,7012,7424
10979,56559,45.3,137,0,0,64,0,55,18,0,92,27,29,55,35,0
10980,110023,62,10901,616,794,3235,2359,1810,1162,925,3927,4271,1906,717,1910,2871
10983,125653,63.6,4354,214,242,1143,749,872,593,541,1389,1617,515,111,464,1674
10984,114003,64.7,2753,312,195,743,531,532,304,136,963,1038,470,66,574,696
10985,N,51.9,77,23,14,0,33,0,7,0,27,20,0,0,0,33
10986,122414,67.5,1380,62,46,562,304,212,102,92,629,495,251,40,422,365
10987,131205,64.6,2602,118,71,788,512,559,354,200,916,1014,235,53,471,1100
10988,74406,66.7,633,48,58,213,118,130,30,36,257,262,209,13,168,71
10989,109600,62.3,7932,297,565,1887,1629,1648,924,982,2630,3099,849,295,1161,2859
10990,114631,59.7,16363,1255,946,4621,3676,2965,1516,1384,6198,6010,2201,443,3886,4732
10992,95850,63.7,8004,598,743,2068,1850,1278,904,563,2794,3145,1485,185,2014,1512
10993,77729,58.1,3423,227,297,1183,514,557,326,319,1315,1236,619,459,756,420
10994,155853,64.1,5305,384,270,1604,1087,894,704,362,1844,2011,596,98,791,2100
10996,117659,11,6236,1613,3257,1038,255,73,0,0,3573,1050,99,37,320,910
10998,100948,64.5,2269,206,72,549,678,438,256,70,869,868,430,177,461,597
11001,115923,64,21954,1472,1561,6715,4412,3947,1946,1901,7791,8844,3516,945,3935,6678
11003,95518,62.6,35399,2825,3509,11987,6491,5347,2514,2726,12882,14452,5812,2706,7888,7419
11004,95480,58,11734,553,707,4010,2032,2031,1050,1351,4087,4693,1684,488,1677,4224
11005,76045,23.3,1963,0,0,8,83,153,351,1368,128,116,20,0,27,197
11010,109448,59.7,19569,1528,1394,5389,4387,2859,1582,2430,6718,7311,3797,937,3465,4436
11020,183960,58.8,4838,445,302,1294,1123,781,417,476,1718,1782,489,437,406,1866
11021,147013,60.6,14501,709,563,4273,2699,2426,1500,2331,4596,5365,780,277,1575,6766
11023,142723,52.4,6970,567,393,1724,1367,1204,792,923,2433,2255,452,187,816,2840
11024,114645,50,6141,816,657,1376,909,1143,738,502,2122,1963,648,347,694,1739
11030,267218,52.9,13187,893,499,3164,3138,2093,1524,1876,4290,4604,634,155,984,6622
11040,119396,58.9,32366,2013,2240,8205,6836,5682,3726,3664,11452,11511,3980,894,5562,10287
11042,-,0,541,0,0,0,0,54,63,424,33,21,14,0,13,27
11050,163168,59.4,23772,1437,1486,7072,4429,4102,2711,2535,8302,8787,2092,929,2455,10127
11096,71863,57.8,6406,756,583,2128,1159,875,530,375,2149,2596,1498,861,1239,564
11101,71270,58.1,19995,1090,2247,9033,3229,2251,1207,938,8351,8409,3281,2526,3155,5551
11102,69286,63.5,29102,1492,3347,14215,4125,2563,1906,1454,12608,11642,3941,3397,4139,9426
11103,73601,66.9,32387,931,2877,16023,4627,3260,2626,2043,13892,12895,4735,2964,4971,11240
11104,69145,65.5,22952,683,1643,10890,3611,2936,2082,1107,9524,9556,4279,2408,3867,6883
11105,75957,64.1,32604,1168,2796,15534,4348,3937,2419,2402,13045,13570,4538,2560,5507,11214
11106,71228,61.9,32149,1607,2999,14140,4758,3692,2532,2421,12283,13306,4535,3336,5151,9568
11109,167364,83.2,2937,40,149,2344,134,158,63,49,1499,1286,91,11,297,2237
11201,157141,64.7,45327,2227,3407,22752,5762,5346,3128,2705,18615,18652,3007,1602,4195,25056
11203,64686,55.3,64482,4100,5986,21410,11031,9960,7067,4928,21260,27127,14271,4948,13611,9571
11204,65759,52.6,61752,4680,6208,21871,10201,9177,4588,5027,23966,23491,12809,9517,8517,10406
11205,79705,55.5,30678,2301,4596,14658,3120,3124,1597,1282,12409,13089,4329,3610,4053,8910
11206,48686,51,59038,5176,7581,24774,8221,6200,4129,2957,21478,25298,10481,11635,8752,8327
11207,50010,49,68460,6848,8599,25056,11432,8188,5131,3206,22529,30746,14794,12147,11665,6070
11208,55563,49.9,69224,6886,8385,26473,12545,8047,4139,2749,24714,30736,21504,10009,9931,5621
11209,88562,57,59478,2936,4076,23553,10221,8309,5024,5359,22482,23677,8160,4469,8668,20786
11210,76701,57.9,49611,4018,5019,16926,9677,7551,3819,2601,18073,21100,10985,2858,8548,11763
11211,74916,61.3,68952,4585,8494,33978,8301,6466,3271,3857,28033,29206,9374,8410,9334,21627
11212,47299,47.1,61406,5572,6239,21588,10844,8504,5119,3540,18424,28751,15906,8751,11698,4581
11213,53827,52.3,46499,3763,4812,17075,8465,5589,3714,3081,16091,19850,10010,5094,9131,6894
11214,64275,49.7,67036,2995,4665,23963,10019,9903,8260,7231,23933,24617,12671,12372,8126,10716
11215,129767,73.3,56258,2072,4379,28682,8416,6898,3242,2569,23494,24881,3545,2453,5602,32396
11216,61909,56.9,45187,2604,4570,19587,6735,5898,3448,2345,16817,19973,7856,4656,8297,11411
11217,115622,69.3,32655,1033,2264,17194,4852,3475,2189,1648,12833,14952,2755,2561,3516,16689
11218,72848,59.4,56904,3829,5771,23207,9339,7792,3474,3492,22633,23476,8878,7142,7895,16423
11219,53595,53.5,66061,5221,7453,24913,10348,8855,3334,5937,26480,25089,14588,14135,7185,8208
11220,55896,56.9,78814,5110,7940,33709,12920,9662,4925,4548,33230,31001,11148,26620,7323,11200
11221,57844,51.7,62030,4951,6639,25695,10334,7707,3933,2771,22828,27547,12565,12000,10698,8473
11222,83432,69.3,30617,846,2900,15923,4298,3793,1403,1454,13706,13208,4057,1724,5397,12836
11223,66288,48.7,60185,3202,4288,19854,9336,9381,8205,5919,20801,22058,11924,9262,7692,9693
11224,58910,40.9,37843,2450,2722,8432,6195,6368,5988,5688,10571,13146,6041,4402,4957,5595
11225,57419,57,47751,3165,5541,17892,7471,7655,3445,2582,16937,21622,8772,5582,9553,9111
11226,55125,58.6,79179,6072,7987,30839,14462,10615,5899,3305,28495,35408,19156,9649,15253,11858
11228,88579,51.7,35870,2190,2880,11979,5812,5455,4055,3499,13469,12657,6798,3809,5053,7586
